id_miembro,fec_registro,id_ciudad,genero,rango_edad,canal_pref,activo,fec_ultima_compra
95,2024-07-03,Papunahua,M,36-45,Ecommerce,False,2026-01-06
96,2024-04-19,Campoalegre,M,26-35,Tienda fisica,False,2025-12-06
97,2025-06-19,Tarso,F,46-60,Tienda fisica,True,2026-06-18
98,2023-08-04,Belén de Umbría,M,26-35,Tienda fisica,True,2026-02-28
99,2025-05-16,La Paz,M,46-60,Ecommerce,True,2025-11-12
100,2022-06-22,Pinillos,F,46-60,Ecommerce,False,2026-07-04
101,2021-09-30,Togüí,M,46-60,Tienda fisica,True,2025-12-27
102,2022-05-14,Tausa,M,36-45,Tienda fisica,True,2025-11-21
103,2025-01-13,Puerto López,M,60+,Marketplace,True,2026-09-04
104,2023-01-23,Granada,M,46-60,Ecommerce,True,2025-08-16
105,2023-11-29,Santa Cruz de Mompox,M,18-25,Tienda fisica,True,2026-08-14
106,2025-09-01,Santo Tomás,M,60+,Ecommerce,True,2025-09-23
107,2022-09-26,Hato,F,26-35,Ecommerce,True,2026-06-10
108,2022-02-10,Peque,M,36-45,Tienda fisica,True,2026-06-18
109,2023-10-13,Buenavista,M,36-45,Marketplace,True,2026-09-03
110,2021-12-10,Aranzazu,M,36-45,Ecommerce,True,2026-05-27
111,2025-06-13,Tena,F,26-35,Tienda fisica,True,2026-05-09
112,2022-02-05,Guacamayas,F,26-35,Ecommerce,False,2025-09-18
113,2022-11-18,Chivatá,F,26-35,Ecommerce,True,2025-09-24
114,2022-12-03,Caldas,F,36-45,Ecommerce,False,2025-10-17
115,2023-08-12,La Virginia,M,46-60,Marketplace,True,2025-08-18
116,2025-07-26,Tarazá,F,36-45,Marketplace,True,2026-06-07
117,2023-10-27,Caimito,F,46-60,Tienda fisica,False,2026-03-08
118,2021-10-09,Silos,M,18-25,Ecommerce,True,2026-06-20
119,2023-10-12,Bolívar,M,46-60,Tienda fisica,True,2026-06-28
120,2025-05-26,Caldas,M,26-35,Tienda fisica,True,2025-12-20
121,2023-08-25,Fredonia,M,46-60,Tienda fisica,True,2025-11-22
122,2025-01-23,Villa del Rosario,M,36-45,Ecommerce,True,2025-11-01
123,2023-12-12,Pácora,M,18-25,Ecommerce,True,2026-06-06
124,2023-02-06,La Celia,F,46-60,Tienda fisica,True,2025-09-21
125,2025-05-27,Corinto,M,60+,Tienda fisica,True,2026-01-09
126,2023-10-13,Talaigua Nuevo,F,46-60,Marketplace,True,2025-12-01
127,2023-08-08,Santa Bárbara,M,26-35,Tienda fisica,True,2025-08-02
128,2022-07-30,Tibacuy,M,46-60,Tienda fisica,True,2025-12-16
129,2025-05-26,Alvarado,M,60+,Ecommerce,True,2025-09-16
130,2023-01-29,Caloto,M,36-45,Tienda fisica,True,2026-07-18
131,2023-02-15,Concepción,M,46-60,Tienda fisica,False,2026-05-18
132,2025-08-29,Anserma,,36-45,Ecommerce,True,2026-08-04
133,2025-03-09,San Pedro de Urabá,F,18-25,Tienda fisica,True,2026-04-11
134,2023-01-14,Túquerres,F,18-25,Ecommerce,True,2025-08-01
135,2022-02-22,Timbiquí,No informado,36-45,Tienda fisica,True,2026-04-27
136,2022-02-25,Santa Lucía,M,26-35,Marketplace,True,2026-04-29
137,2022-07-09,Timaná,F,60+,Tienda fisica,True,2025-08-02
138,2022-03-06,Puerto Colombia,F,18-25,Ecommerce,True,2025-08-28
139,2023-03-10,Mutatá,F,60+,Tienda fisica,True,2026-01-28
140,2025-01-11,Pisba,No informado,36-45,Marketplace,True,2026-08-29
141,2023-06-30,Acandí,M,46-60,Ecommerce,False,2026-02-12
142,2024-04-01,Pasca,F,18-25,Ecommerce,True,2026-07-02
143,2024-08-18,Los Córdobas,F,26-35,Ecommerce,True,2026-05-11
144,2025-03-09,Florencia,F,26-35,Ecommerce,True,2025-08-30
145,2025-08-06,El Charco,,60+,Ecommerce,True,2026-06-02
146,2022-08-04,Algeciras,F,60+,Tienda fisica,True,2026-08-23
147,2024-12-23,Angostura,M,46-60,Tienda fisica,True,2026-06-08
148,2023-02-06,Puerto Concordia,M,36-45,Ecommerce,True,2026-02-12
149,2024-06-08,Lebrija,F,18-25,Tienda fisica,True,2026-01-08
150,2023-09-09,Providencia,F,36-45,Marketplace,False,2025-09-17
151,2024-01-17,La Playa,M,36-45,Ecommerce,True,2025-11-07
152,2024-06-12,Cértegui,F,60+,Tienda fisica,True,2026-05-09
153,2023-09-15,Tibasosa,F,26-35,Tienda fisica,True,2026-05-31
154,2022-06-12,Puerto Santander,F,36-45,Marketplace,True,2026-05-27
155,2023-08-10,Motavita,M,26-35,Marketplace,True,2026-06-29
156,2022-06-05,Alcalá,F,60+,Tienda fisica,True,2025-09-28
157,2021-12-08,Morelia,M,60+,Ecommerce,True,2026-07-29
158,2023-08-30,Villagómez,M,26-35,Ecommerce,True,2026-06-02
159,2022-05-20,Coveñas,F,26-35,Tienda fisica,True,2026-06-12
160,2025-03-02,San Pablo de Borbur,M,36-45,Tienda fisica,True,2026-03-25
161,2023-05-10,Andalucía,M,26-35,Tienda fisica,True,2026-03-29
162,2023-10-07,Tamalameque,M,26-35,Tienda fisica,True,2026-02-28
163,2025-08-27,Repelón,F,36-45,Ecommerce,True,2026-08-20
164,2021-12-30,Colón,F,26-35,Marketplace,True,2025-08-04
165,2022-08-19,Cali,M,36-45,Tienda fisica,True,2026-07-04
166,2023-04-12,Olaya,F,46-60,Ecommerce,True,2026-06-05
167,2022-10-27,La Belleza,M,26-35,Tienda fisica,True,2026-02-01
168,2022-07-31,San Rafael,M,46-60,Tienda fisica,True,2026-08-30
169,2022-06-26,Santa María,M,46-60,Tienda fisica,True,2026-09-03
170,2024-06-19,Suesca,M,,Tienda fisica,True,2025-09-15
171,2023-12-18,Labateca,M,18-25,Ecommerce,True,2026-01-31
172,2024-04-08,Socha,M,46-60,Tienda fisica,True,2025-10-23
173,2021-12-08,Chigorodó,F,46-60,Tienda fisica,True,2025-10-17
174,2025-03-13,Canalete,F,18-25,Marketplace,True,2026-01-18
175,2021-12-14,Puente Nacional,F,26-35,Marketplace,False,2025-08-22
176,2024-04-08,Alto Baudó,,26-35,Tienda fisica,True,2025-12-16
177,2022-06-25,Juradó,F,60+,Tienda fisica,True,2025-12-11
178,2024-12-24,Consacá,M,18-25,Tienda fisica,True,2025-08-15
179,2022-03-19,Espinal,M,60+,Marketplace,False,2026-04-07
180,2023-06-19,Achí,F,26-35,Tienda fisica,True,2026-07-16
181,2021-08-19,Calamar,M,26-35,Ecommerce,False,2025-11-15
182,2024-01-23,Los Santos,M,18-25,Marketplace,True,2026-03-12
183,2021-08-05,Fresno,M,,Ecommerce,True,2025-09-05
184,2022-03-31,Chimichagua,M,26-35,Ecommerce,True,2026-01-10
185,2025-08-23,Alto Baudó,M,60+,Ecommerce,True,2026-02-18
186,2024-02-08,Tibasosa,M,60+,Ecommerce,True,2026-03-03
187,2024-01-05,Altos del Rosario,M,26-35,Tienda fisica,True,2026-05-31
188,2024-10-21,Nocaima,F,46-60,Tienda fisica,True,2025-12-30
189,2022-01-26,Soracá,F,18-25,Tienda fisica,True,2025-12-25
190,2025-05-01,Simití,M,26-35,Tienda fisica,False,2025-09-09
191,2024-08-12,Boyacá,M,36-45,Tienda fisica,True,2025-12-11
192,2024-08-22,Viotá,M,26-35,Tienda fisica,True,2025-12-07
193,2023-12-17,Girardota,M,36-45,Ecommerce,True,2026-04-20
194,2022-10-24,San Benito Abad,F,36-45,Tienda fisica,True,2025-09-09
195,2025-08-25,Cicuco,F,60+,Marketplace,True,2025-10-25
196,2023-02-08,Chía,M,26-35,Ecommerce,True,2025-09-13
197,2024-01-06,Macaravita,M,60+,Tienda fisica,False,2026-05-11
198,2023-02-18,San José de Cúcuta,F,26-35,Marketplace,True,2025-11-28
199,2025-06-04,Villavieja,F,60+,Ecommerce,False,2025-11-14
200,2022-02-25,Ramiriquí,M,36-45,Marketplace,True,2026-06-26
201,2023-04-22,Betulia,F,36-45,Tienda fisica,True,2025-09-15
202,2024-08-21,Guadalajara de Buga,M,18-25,Ecommerce,True,2026-03-26
203,2022-06-08,Vegachí,F,36-45,Tienda fisica,True,2026-04-17
204,2023-09-29,Santander de Quilichao,M,26-35,Ecommerce,True,2025-08-13
205,2024-01-28,Monterrey,F,46-60,Tienda fisica,True,2025-10-22
206,2024-12-26,San Pelayo,M,36-45,Ecommerce,True,2025-09-10
207,2023-08-31,Río Quito,,46-60,Tienda fisica,True,2025-12-25
208,2024-10-11,Morelia,F,36-45,Ecommerce,True,2026-05-31
209,2022-08-31,Ovejas,,36-45,Tienda fisica,True,2026-04-29
210,2024-02-26,Guacamayas,F,26-35,Marketplace,False,2026-03-30
211,2025-03-11,San Antero,M,36-45,Tienda fisica,True,2026-03-10
212,2022-10-10,Silvania,M,26-35,Tienda fisica,False,2026-04-12
213,2022-03-17,Sogamoso,M,36-45,Tienda fisica,True,2025-09-20
214,2022-04-03,Altamira,M,36-45,Tienda fisica,True,2025-11-21
215,2023-09-08,Venadillo,F,26-35,Marketplace,True,2026-08-12
216,2024-06-01,Valparaíso,F,60+,Tienda fisica,True,2026-06-23
217,2024-10-07,Betulia,F,26-35,Tienda fisica,True,2025-11-27
218,2024-01-17,Algeciras,F,36-45,Tienda fisica,True,2026-06-28
219,2025-04-05,Saboyá,F,26-35,Tienda fisica,False,2025-11-06
220,2022-01-12,Panqueba,F,60+,Tienda fisica,True,2025-12-21
221,2024-08-27,Pajarito,F,36-45,Ecommerce,False,2025-09-30
222,2022-06-22,Dibulla,F,26-35,Ecommerce,True,2025-12-30
223,2024-02-05,Sabana de Torres,F,36-45,Ecommerce,True,2026-05-11
224,2022-11-04,Belén,F,60+,Ecommerce,True,2026-03-12
225,2021-12-08,Chima,F,36-45,Tienda fisica,False,2026-08-10
226,2024-01-03,Nuquí,F,26-35,Tienda fisica,True,2026-06-09
227,2021-09-18,Santa Rosa de Osos,F,26-35,Ecommerce,True,2025-11-19
228,2024-04-11,Hispania,M,,Tienda fisica,True,2026-05-27
229,2024-08-19,Zipaquirá,M,,Ecommerce,True,2026-08-07
230,2022-09-15,Jamundí,F,60+,Ecommerce,False,2026-06-15
231,2025-02-06,Guachucal,F,36-45,Ecommerce,True,2025-11-28
232,2025-04-18,Pácora,F,36-45,Tienda fisica,True,2026-08-21
233,2024-03-01,Sasaima,F,36-45,Ecommerce,True,2026-07-13
234,2023-06-12,Jericó,F,46-60,Tienda fisica,True,2026-03-04
235,2023-10-03,Soacha,F,60+,Tienda fisica,True,2025-11-08
236,2025-06-05,San Pelayo,,60+,Tienda fisica,False,2026-02-11
237,2023-06-05,Acandí,F,26-35,Tienda fisica,True,2026-05-25
238,2023-02-12,La Florida,M,46-60,Ecommerce,True,2026-07-24
239,2024-07-04,Galán,F,36-45,Ecommerce,True,2025-12-14
240,2023-05-06,Saladoblanco,F,36-45,Ecommerce,True,2026-01-24
241,2024-03-21,Guática,M,36-45,Tienda fisica,True,2025-09-09
242,2025-06-07,Salazar,F,60+,Ecommerce,True,2026-05-20
243,2022-08-15,Puerto Libertador,F,36-45,Tienda fisica,True,2025-09-09
244,2023-12-15,Murillo,F,18-25,Tienda fisica,True,2026-05-21
245,2021-08-21,El Guamo,M,46-60,Tienda fisica,True,2026-01-04
246,2024-11-20,Guacarí,M,26-35,Tienda fisica,True,2026-08-01
247,2025-08-24,Sabaneta,M,18-25,Ecommerce,True,2025-10-04
248,2022-05-26,Santa Catalina,M,26-35,Tienda fisica,True,2026-07-17
249,2022-02-19,Santa Sofía,M,46-60,Tienda fisica,False,2026-01-13
250,2021-12-05,San Jerónimo,F,36-45,Tienda fisica,True,2025-09-03
251,2021-08-12,Cucutilla,M,18-25,Tienda fisica,False,2026-06-29
252,2024-05-20,San Alberto,M,60+,Tienda fisica,True,2025-09-07
253,2022-11-21,Girardot,F,46-60,Ecommerce,False,2026-07-07
254,2025-07-23,Consacá,F,,Ecommerce,True,2025-10-25
255,2023-12-18,Buenaventura,F,,Ecommerce,True,2026-01-19
256,2021-12-28,Chachagüí,F,60+,Ecommerce,True,2025-08-26
257,2023-01-27,Guamo,M,26-35,Tienda fisica,True,2025-11-15
258,2022-03-18,Topaipí,M,60+,Ecommerce,True,2026-07-08
259,2021-10-16,San José de Toluviejo,F,26-35,Ecommerce,True,2026-09-02
260,2022-05-28,El Molino,F,,Ecommerce,True,2025-08-09
261,2022-11-09,Pijao,F,36-45,Tienda fisica,True,2026-06-18
262,2024-03-19,Los Palmitos,F,18-25,Marketplace,True,2026-08-09
263,2023-06-30,Cumbitara,F,36-45,Ecommerce,True,2026-06-08
264,2025-05-08,Carcasí,M,26-35,Tienda fisica,True,2025-10-03
265,2023-04-23,Quibdó,M,18-25,Tienda fisica,True,2026-07-05
266,2021-09-03,Tangua,M,36-45,Ecommerce,True,2026-06-28
267,2025-01-26,Cimitarra,F,36-45,Marketplace,True,2026-03-14
268,2023-08-26,Calima,M,46-60,Tienda fisica,True,2026-04-17
269,2021-12-25,Santacruz,M,60+,Ecommerce,True,2025-09-22
270,2024-03-19,Sardinata,M,46-60,Tienda fisica,True,2026-02-10
271,2023-04-05,Palmas del Socorro,F,26-35,Tienda fisica,True,2025-10-13
272,2022-06-27,Paime,F,46-60,Tienda fisica,True,2026-04-23
273,2022-06-10,Tiquisio,F,46-60,Tienda fisica,True,2025-12-27
274,2022-12-03,San Antero,F,46-60,Tienda fisica,True,2025-09-02
275,2025-06-02,Isnos,,26-35,Tienda fisica,True,2026-05-04
276,2025-07-04,Yumbo,M,46-60,Tienda fisica,True,2025-12-17
277,2022-07-31,Chiquinquirá,M,36-45,Tienda fisica,True,2026-05-25
278,2021-09-28,Pamplona,M,36-45,Tienda fisica,True,2026-07-05
279,2024-07-30,Viotá,F,46-60,Ecommerce,True,2025-09-29
280,2023-05-24,Cáceres,F,26-35,Tienda fisica,True,2025-12-11
281,2025-05-20,Ciénaga de Oro,F,26-35,Ecommerce,True,2025-12-13
282,2024-11-26,San José,,,Tienda fisica,False,2026-05-03
283,2023-09-09,Hobo,F,36-45,Marketplace,True,2026-01-18
284,2025-08-12,Socotá,F,18-25,Marketplace,True,2026-04-25
285,2023-04-05,Marulanda,F,36-45,Tienda fisica,True,2025-09-08
286,2023-05-30,Duitama,F,18-25,Tienda fisica,True,2025-08-28
287,2025-04-18,Confines,M,18-25,Tienda fisica,False,2025-11-28
288,2023-03-28,Paime,M,46-60,Ecommerce,False,2026-02-25
289,2023-10-22,Colón,M,26-35,Tienda fisica,True,2026-02-25
290,2025-04-08,Bosconia,M,26-35,Ecommerce,True,2025-09-15
291,2024-10-11,San Luis de Gaceno,F,46-60,Ecommerce,True,2025-11-09
292,2023-06-10,Bojayá,F,,Tienda fisica,True,2026-05-23
293,2022-05-07,El Litoral del San Juan,M,26-35,Tienda fisica,True,2026-06-23
294,2023-11-27,Rondón,F,46-60,Ecommerce,False,2026-07-25
295,2023-01-30,Villa de Leyva,M,60+,Tienda fisica,True,2025-11-01
296,2023-11-18,Pital,F,36-45,Tienda fisica,True,2026-04-11
297,2022-02-20,Villa Caro,M,36-45,Marketplace,True,2026-03-26
298,2021-09-03,Zambrano,F,26-35,Tienda fisica,True,2026-09-04
299,2023-12-11,Campamento,F,36-45,Tienda fisica,True,2026-07-24
300,2024-06-18,Carolina,M,60+,Ecommerce,True,2025-12-25
301,2023-04-25,Bojayá,F,18-25,Tienda fisica,True,2026-06-23
302,2022-01-17,Saravena,M,26-35,Ecommerce,True,2026-04-15
303,2023-03-20,Santander de Quilichao,M,26-35,Ecommerce,True,2026-03-05
304,2024-04-06,Distracción,M,18-25,Tienda fisica,True,2026-04-30
305,2022-06-28,Salgar,F,26-35,Tienda fisica,True,2026-01-14
306,2024-12-09,Tarazá,M,36-45,Ecommerce,True,2026-01-30
307,2024-07-22,Zapayán,F,26-35,Ecommerce,True,2025-11-27
308,2025-01-19,La Unión,F,,Ecommerce,True,2025-09-19
309,2021-12-05,Buenavista,M,36-45,Tienda fisica,False,2026-03-28
310,2021-10-25,Santa Rosa,F,18-25,Tienda fisica,True,2025-12-14
311,2021-09-28,Concepción,M,26-35,Tienda fisica,True,2026-04-30
312,2025-08-01,Linares,M,26-35,Marketplace,True,2026-06-02
313,2021-12-26,Arroyohondo,M,36-45,Ecommerce,True,2026-07-04
314,2024-10-11,San José del Palmar,F,60+,Tienda fisica,True,2026-04-29
315,2021-10-07,Armenia,F,36-45,Ecommerce,True,2026-04-15
316,2024-04-12,Vegachí,M,46-60,Ecommerce,True,2025-10-17
317,2024-06-02,Cerro de San Antonio,F,36-45,Tienda fisica,True,2025-09-20
318,2022-12-24,Río Viejo,F,36-45,Ecommerce,True,2025-09-16
319,2022-06-07,Inírida,F,46-60,Tienda fisica,False,2026-06-07
320,2024-02-19,Bituima,F,26-35,Tienda fisica,True,2025-10-24
321,2022-04-17,Murillo,F,18-25,Ecommerce,True,2026-04-21
322,2025-08-05,Bucaramanga,M,18-25,Tienda fisica,True,2026-04-10
323,2021-12-27,Colón,M,36-45,Tienda fisica,True,2025-08-02
324,2023-07-22,Manaure Balcón del Cesar,F,26-35,Tienda fisica,True,2026-01-17
325,2023-06-22,Corozal,F,18-25,Ecommerce,True,2026-04-14
326,2022-01-17,Maceo,F,46-60,Ecommerce,False,2026-07-04
327,2025-06-14,Nechí,F,18-25,Ecommerce,True,2025-10-03
328,2022-01-14,Algarrobo,F,36-45,Ecommerce,False,2026-01-06
329,2024-11-04,El Roble,F,46-60,Tienda fisica,True,2025-08-15
330,2021-08-09,La Guadalupe,M,36-45,Marketplace,True,2026-07-09
331,2022-09-22,Planeta Rica,M,,Ecommerce,False,2025-10-12
332,2024-04-09,Paime,F,46-60,Marketplace,True,2026-06-29
333,2025-05-28,Santa Rosa del Sur,M,46-60,Ecommerce,True,2025-09-01
334,2025-03-05,Caucasia,F,46-60,Marketplace,True,2026-04-12
335,2025-03-06,Mitú,M,36-45,Marketplace,True,2026-04-26
336,2025-05-23,Santa Rosa de Osos,M,18-25,Tienda fisica,False,2026-02-17
337,2023-02-24,El Águila,F,26-35,Ecommerce,True,2025-08-01
338,2022-02-12,El Rosario,M,46-60,Tienda fisica,True,2026-01-19
339,2022-05-24,Necoclí,M,36-45,Tienda fisica,True,2026-04-20
340,2022-08-09,San Zenón,M,26-35,Ecommerce,True,2025-12-11
341,2021-08-26,Yalí,F,46-60,Ecommerce,True,2025-11-25
342,2023-02-06,Chimá,M,,Tienda fisica,True,2026-01-22
343,2025-04-15,Ciénaga,F,26-35,Ecommerce,True,2025-10-07
344,2023-08-21,Tocaima,F,46-60,Ecommerce,True,2026-05-05
345,2022-07-25,Pupiales,M,26-35,Tienda fisica,True,2025-08-02
346,2023-10-19,Firavitoba,M,26-35,Ecommerce,True,2026-01-07
347,2024-06-01,Ayapel,M,36-45,Tienda fisica,True,2026-06-09
348,2023-08-26,Girón,F,26-35,Ecommerce,True,2026-07-02
349,2022-06-21,Une,F,60+,Tienda fisica,True,2025-10-29
350,2024-03-08,Peñol,F,26-35,Ecommerce,True,2026-06-04
351,2024-03-24,Otanche,M,36-45,Tienda fisica,True,2025-11-30
352,2023-09-23,Baraya,M,26-35,Tienda fisica,True,2025-10-03
353,2023-12-15,Solano,F,26-35,Tienda fisica,True,2026-04-01
354,2024-10-24,Tipacoque,F,46-60,Ecommerce,True,2026-08-05
355,2024-07-12,San Carlos,M,36-45,Tienda fisica,True,2026-03-18
356,2025-03-12,Santa Bárbara de Pinto,F,26-35,Tienda fisica,True,2026-08-19
357,2022-08-04,Aracataca,F,46-60,Tienda fisica,True,2026-01-20
358,2024-10-23,Amalfi,M,46-60,Ecommerce,True,2026-04-26
359,2021-08-29,San Sebastián,F,36-45,Tienda fisica,True,2025-11-12
360,2021-09-09,Briceño,M,18-25,Tienda fisica,True,2026-08-18
361,2022-12-01,Soracá,M,26-35,Tienda fisica,True,2026-03-20
362,2021-08-10,Arcabuco,F,36-45,Ecommerce,True,2025-11-06
363,2022-02-17,Guachucal,M,46-60,Ecommerce,False,2025-11-20
364,2022-08-04,Cabuyaro,M,60+,Tienda fisica,True,2025-11-28
365,2024-03-20,Chachagüí,M,18-25,Ecommerce,False,2026-03-01
366,2022-03-29,Nariño,M,,Ecommerce,True,2026-06-05
367,2024-04-11,Morelia,F,36-45,Tienda fisica,True,2025-12-13
368,2025-04-02,Supatá,No informado,18-25,Tienda fisica,True,2026-08-17
369,2023-05-10,Santo Tomás,M,18-25,Tienda fisica,True,2026-03-05
370,2025-03-04,Ocamonte,F,46-60,Ecommerce,True,2025-12-27
371,2025-04-19,El Cocuy,M,18-25,Ecommerce,True,2025-08-08
