art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
45,5050641383678,Repellendus iusto,Bebes y maternidad,Bebe-1,Bebe-1-1,173,193000.0,17.21,UN,False,2026-03-06
46,0241038657198,Alias doloribus,Alimentos y bebidas,Alim-1,Alim-3-2,565,219000.0,16.26,UN,True,2025-09-11
47,1826199062341,Aut autem,Ropa y calzado basico,Ropa-1,Ropa-3-2,173,145900.0,10.58,UN,True,2025-12-09
48,4565574313292,Cumque quaerat,Hogar y limpieza,Hoga-3,Hoga-1-2,629,30100.0,16.95,UN,True,2025-11-20
49,1212775618536,Optio ab,Electronica y tecnologia,Elec-3,Elec-2-2,26,77300.0,13.43,UN,False,2025-12-25
50,7474112490357,Vitae aperiam,Cuidado personal e higiene,Cuid-3,Cuid-2-1,473,214500.0,2.87,UN,True,2025-12-09
51,2135680442067,Ab animi,Hogar y limpieza,Hoga-2,Hoga-1-1,478,88200.0,14.83,LT,True,2025-12-22
52,7883171210033,Quidem deserunt,Cuidado personal e higiene,Cuid-2,Cuid-2-2,299,27500.0,19.92,LT,True,2025-09-28
53,2365199410138,Dolorum debitis,Alimentos y bebidas,Alim-2,Alim-3-2,552,76900.0,0.87,KG,False,2026-02-03
54,7215107029660,Aspernatur magnam,Ropa y calzado basico,Ropa-1,Ropa-1-1,304,202100.0,4.94,UN,True,2026-03-11
55,7066253244724,Ex delectus,Alimentos y bebidas,Alim-2,Alim-2-2,523,124400.0,11.97,UN,True,2025-12-07
56,0999347687015,Doloremque animi,Hogar y limpieza,Hoga-2,Hoga-2-2,179,44600.0,8.33,UN,True,2026-02-22
57,4626383806570,Quis repudiandae,Cuidado personal e higiene,Cuid-1,Cuid-3-1,455,79500.0,12.77,UN,True,2025-09-28
58,8759856420594,Ex repellat,Alimentos y bebidas,Alim-3,Alim-3-2,606,238500.0,11.75,KG,True,2026-01-28
59,3040785932131,Magnam molestiae,Hogar y limpieza,Hoga-3,Hoga-3-2,773,109100.0,15.77,UN,True,2025-11-07
60,3480396522398,Architecto quia,Bebes y maternidad,Bebe-1,Bebe-2-1,289,111500.0,1.46,UN,True,2026-01-15
61,5590599293785,Rem quia,Bebes y maternidad,Bebe-3,Bebe-2-1,379,40000.0,8.84,UN,True,2025-12-26
62,4270103930870,Aliquam illum,Hogar y limpieza,Hoga-1,Hoga-2-2,382,77500.0,17.21,UN,True,2025-09-12
63,0593252500294,Nisi molestiae,Electronica y tecnologia,Elec-3,Elec-2-1,689,204000.0,7.29,KG,True,2025-11-13
64,2185156915458,Aut occaecati,Bebes y maternidad,Bebe-3,Bebe-1-2,771,197000.0,10.1,UN,True,2025-11-29
65,2267528953920,Cum accusantium,Cuidado personal e higiene,Cuid-1,Cuid-3-1,517,110000.0,,UN,True,2026-02-13
66,6442209690295,Consectetur illo,Bebes y maternidad,Bebe-2,Bebe-3-2,658,223600.0,4.52,UN,True,2025-09-25
67,5939172513559,Optio quidem,Alimentos y bebidas,Alim-1,Alim-2-1,68,96300.0,9.3,KG,True,2026-03-12
68,2157043315412,Ducimus fuga,Cuidado personal e higiene,Cuid-3,Cuid-3-1,608,216400.0,,UN,True,2025-09-13
69,0067626765867,Omnis libero,Hogar y limpieza,Hoga-1,Hoga-3-2,649,9800.0,14.31,UN,True,2025-10-22
70,1793271040545,Recusandae sint,Alimentos y bebidas,Alim-1,Alim-2-2,572,88100.0,12.26,KG,True,2025-10-02
71,1152621815996,Consequuntur cupiditate,Ropa y calzado basico,Ropa-1,Ropa-1-2,468,214100.0,17.61,LT,True,2026-02-28
72,7062962015334,Placeat earum,Bebes y maternidad,Bebe-1,Bebe-1-2,720,225500.0,17.1,UN,True,2025-12-26
73,6884443106987,Reiciendis aperiam,Hogar y limpieza,Hoga-1,Hoga-2-1,523,189600.0,4.86,KG,True,2026-01-25
74,7205061497315,Mollitia nihil,Bebes y maternidad,Bebe-2,Bebe-2-2,678,168100.0,0.4,UN,False,2026-01-19
75,0324171467746,Iste aspernatur,Ropa y calzado basico,Ropa-2,Ropa-1-1,145,204200.0,17.1,KG,True,2025-12-30
76,1862565270477,Necessitatibus quam,Ropa y calzado basico,Ropa-2,Ropa-1-1,533,177500.0,6.62,UN,False,2025-11-02
77,7434902115860,Quia suscipit,Ropa y calzado basico,Ropa-1,Ropa-1-2,350,65000.0,6.97,KG,True,2025-09-30
78,9380686879376,Provident maiores,Electronica y tecnologia,Elec-1,Elec-3-2,695,117600.0,3.21,KG,True,2025-11-30
79,4160898992170,Officiis nobis,Alimentos y bebidas,Alim-3,Alim-3-2,705,165900.0,13.88,UN,True,2025-11-25
80,2233206163295,Amet ducimus,Bebes y maternidad,Bebe-1,Bebe-2-2,676,147800.0,5.64,UN,True,2025-11-30
81,4511686854871,Omnis eius,Electronica y tecnologia,Elec-1,Elec-1-2,173,221500.0,3.58,KG,True,2026-03-22
82,0998616229994,Cupiditate nisi,Bebes y maternidad,Bebe-2,Bebe-1-2,394,119500.0,10.09,UN,True,2025-09-29
83,1191485646797,Adipisci excepturi,Bebes y maternidad,Bebe-1,Bebe-1-1,1,46100.0,15.02,UN,True,2026-01-11
84,9702462996068,Laudantium asperiores,Cuidado personal e higiene,Cuid-2,Cuid-2-2,784,55200.0,5.43,UN,True,2025-10-05
85,5307450544470,Dolor voluptas,Hogar y limpieza,Hoga-3,Hoga-1-1,207,211800.0,14.45,UN,True,2025-12-31
86,1324754691376,Inventore laboriosam,Cuidado personal e higiene,Cuid-1,Cuid-2-2,500,4200.0,9.27,UN,False,2026-01-17
87,3678508214860,Accusantium mollitia,Alimentos y bebidas,Alim-3,Alim-3-2,391,217500.0,8.11,UN,True,2025-09-11
88,2890233030701,Eligendi debitis,Bebes y maternidad,Bebe-2,Bebe-2-1,724,15800.0,,KG,True,2025-12-05
89,5345786103572,Officiis assumenda,Bebes y maternidad,Bebe-2,Bebe-3-1,658,99100.0,2.95,UN,True,2025-11-07
90,9727985524147,Voluptas voluptate,Bebes y maternidad,Bebe-2,Bebe-1-1,622,200400.0,6.69,UN,True,2025-12-10
91,0602933334681,Veniam laudantium,Bebes y maternidad,Bebe-2,Bebe-1-1,515,103100.0,17.59,UN,True,2025-12-10
92,0072290349442,Dolor harum,Electronica y tecnologia,Elec-1,Elec-3-2,96,205900.0,2.09,UN,True,2025-12-07
93,6657437489690,Commodi ut,Electronica y tecnologia,Elec-1,Elec-2-1,736,26900.0,19.17,UN,True,2026-01-10
94,1085899441713,Nobis sequi,Bebes y maternidad,Bebe-3,Bebe-2-1,51,128900.0,2.19,UN,True,2025-10-14
95,5454443283097,Facere tempora,Electronica y tecnologia,Elec-1,Elec-3-1,365,146500.0,7.27,UN,True,2026-02-22
96,6520744666095,Ipsam non,Electronica y tecnologia,Elec-3,Elec-2-2,304,222900.0,12.15,LT,False,2026-02-19
97,9353875842826,In modi,Cuidado personal e higiene,Cuid-2,Cuid-1-1,313,25200.0,16.76,UN,True,2025-12-04
98,4172482513531,Quidem nesciunt,Ropa y calzado basico,Ropa-3,Ropa-2-1,782,86000.0,2.91,UN,False,2026-03-04
99,4655494717093,Minus omnis,Ropa y calzado basico,Ropa-2,Ropa-1-1,186,165500.0,2.86,KG,True,2025-10-28
100,9917381684600,Nam tempora,Ropa y calzado basico,Ropa-2,Ropa-1-2,464,245000.0,12.59,UN,True,2025-10-15
101,2235697252175,Unde facere,Hogar y limpieza,Hoga-2,Hoga-1-1,175,212400.0,5.89,UN,True,2025-10-30
102,5250074329278,Neque sint,Cuidado personal e higiene,Cuid-2,Cuid-3-2,730,211900.0,12.91,LT,True,2026-02-07
103,1296666760085,Cumque hic,Alimentos y bebidas,Alim-1,Alim-3-2,589,130300.0,16.42,UN,True,2025-10-01
104,3505830033541,Doloremque quae,Electronica y tecnologia,Elec-2,Elec-1-2,332,141900.0,1.58,UN,True,2025-11-03
105,2168942104472,Inventore accusamus,Ropa y calzado basico,Ropa-2,Ropa-1-2,65,214900.0,16.9,UN,True,2025-10-03
106,8985625753260,Ad ab,Ropa y calzado basico,Ropa-1,Ropa-3-2,123,217700.0,0.8,LT,True,2025-12-01
107,0332309821506,Accusantium voluptatem,Bebes y maternidad,Bebe-3,Bebe-3-1,195,201000.0,17.98,UN,False,2025-11-04
108,6489090100168,Culpa error,Hogar y limpieza,Hoga-2,Hoga-1-2,326,205000.0,19.51,KG,True,2026-02-14
109,7618472304613,Numquam fuga,Ropa y calzado basico,Ropa-1,Ropa-1-2,709,220100.0,13.37,UN,True,2026-02-04
110,8499261891410,Eaque occaecati,Ropa y calzado basico,Ropa-3,Ropa-3-1,96,30200.0,19.69,UN,True,2026-02-27
111,1739348356423,Quaerat fugit,Cuidado personal e higiene,Cuid-1,Cuid-3-2,462,74600.0,16.45,KG,True,2025-11-25
112,0873753001194,Porro consequatur,Bebes y maternidad,Bebe-2,Bebe-3-1,278,244100.0,0.94,LT,True,2025-12-19
113,7218114374471,Ad pariatur,Alimentos y bebidas,Alim-2,Alim-1-1,38,137100.0,0.13,UN,True,2026-02-22
114,0120455611009,Excepturi quae,Electronica y tecnologia,Elec-2,Elec-1-1,496,45800.0,0.46,UN,True,2026-01-24
115,2255794155216,Dolorum eaque,Bebes y maternidad,Bebe-3,Bebe-2-1,564,126800.0,9.07,KG,True,2026-03-12
116,6674676212025,Ducimus dignissimos,Electronica y tecnologia,Elec-3,Elec-1-2,768,162200.0,12.49,UN,True,2026-03-19
117,1697972965902,Itaque ut,Bebes y maternidad,Bebe-2,Bebe-3-2,406,207400.0,9.66,UN,True,2025-09-19
118,2771670145084,Vitae quis,Alimentos y bebidas,Alim-3,Alim-1-2,261,203400.0,13.56,UN,True,2025-10-21
119,9935889163755,Voluptas et,Electronica y tecnologia,Elec-3,Elec-2-1,684,14200.0,9.02,LT,True,2026-01-24
120,6289002877214,Et perspiciatis,Ropa y calzado basico,Ropa-3,Ropa-3-1,198,114500.0,0.9,UN,True,2025-09-23
121,7535408386638,Nobis doloremque,Electronica y tecnologia,Elec-2,Elec-3-1,546,7100.0,4.56,UN,True,2025-09-21
122,1779717751701,Temporibus dicta,Bebes y maternidad,Bebe-1,Bebe-2-1,755,222300.0,19.85,UN,True,2025-10-01
123,1660880199486,Eos ex,Hogar y limpieza,Hoga-1,Hoga-3-2,4,45100.0,6.95,UN,True,2025-09-18
124,8375503758997,Fugiat iure,Ropa y calzado basico,Ropa-2,Ropa-1-1,741,157000.0,6.53,UN,True,2026-01-15
125,7571130554884,Aperiam cum,Hogar y limpieza,Hoga-2,Hoga-2-1,165,143500.0,3.1,UN,True,2025-10-29
126,5102726149331,Laboriosam harum,Bebes y maternidad,Bebe-1,Bebe-1-2,386,157100.0,19.74,UN,True,2026-03-11
127,1637351609171,Cumque optio,Alimentos y bebidas,Alim-1,Alim-3-2,207,141700.0,4.65,UN,True,2025-09-24
128,7982708086971,Possimus necessitatibus,Cuidado personal e higiene,Cuid-3,Cuid-3-2,116,179500.0,12.95,UN,True,2025-12-04
129,8292216995863,Maxime officiis,Alimentos y bebidas,Alim-3,Alim-1-2,562,157300.0,0.89,KG,True,2026-01-14
130,6934654722695,Quidem nihil,Ropa y calzado basico,Ropa-3,Ropa-1-2,386,24400.0,1.38,UN,True,2025-11-15
131,8485833394526,Nostrum beatae,Cuidado personal e higiene,Cuid-1,Cuid-2-1,408,93000.0,14.35,UN,True,2026-01-25
132,2885158799680,Animi voluptatem,Cuidado personal e higiene,Cuid-1,Cuid-1-2,387,137600.0,12.72,UN,True,2026-02-19
133,4608106200346,Totam architecto,Bebes y maternidad,Bebe-1,Bebe-3-2,598,82600.0,13.62,UN,True,2026-01-09
134,2442043805712,Amet ad,Hogar y limpieza,Hoga-3,Hoga-1-2,773,190600.0,4.66,KG,True,2026-01-03
135,9838638406663,Laudantium sapiente,Alimentos y bebidas,Alim-2,Alim-3-1,411,80800.0,19.7,UN,True,2025-12-28
136,5800439735987,Commodi cupiditate,Alimentos y bebidas,Alim-3,Alim-2-2,125,207500.0,11.19,KG,True,2026-03-21
137,9334721228162,Quia modi,Cuidado personal e higiene,Cuid-2,Cuid-2-1,262,38400.0,19.39,UN,True,2026-02-07
138,0648422940575,Dolorem temporibus,Bebes y maternidad,Bebe-2,Bebe-1-2,397,192800.0,3.33,LT,True,2025-09-16
139,2025909479854,Fugiat praesentium,Electronica y tecnologia,Elec-2,Elec-3-2,83,47500.0,8.13,UN,True,2026-02-05
140,1583281826884,Sequi excepturi,Bebes y maternidad,Bebe-3,Bebe-2-1,184,132900.0,6.75,UN,True,2025-10-06
141,6153355543983,Soluta esse,Cuidado personal e higiene,Cuid-2,Cuid-2-1,163,81500.0,15.11,UN,True,2026-02-25
142,7801573993057,Sunt enim,Hogar y limpieza,Hoga-2,Hoga-2-2,779,160100.0,14.96,UN,True,2025-11-07
143,6164840858871,Incidunt quaerat,Alimentos y bebidas,Alim-3,Alim-3-2,321,54800.0,,UN,True,2026-01-20
144,7043581128803,Vel repellat,Hogar y limpieza,Hoga-2,Hoga-3-1,704,199300.0,,UN,True,2026-01-29
145,1336138612075,Blanditiis illo,Electronica y tecnologia,Elec-3,Elec-3-1,442,144200.0,3.55,KG,True,2025-11-14
146,5011024819344,Aspernatur debitis,Ropa y calzado basico,Ropa-2,Ropa-2-2,405,239400.0,1.05,KG,True,2026-03-15
147,6676650618090,Nam repudiandae,Hogar y limpieza,Hoga-3,Hoga-3-2,751,178500.0,16.95,UN,True,2025-12-17
148,1901581449143,Temporibus veniam,Ropa y calzado basico,Ropa-2,Ropa-1-2,554,152600.0,5.83,UN,True,2025-11-27
149,7660728326849,Molestias et,Electronica y tecnologia,Elec-2,Elec-3-2,192,207600.0,2.4,UN,True,2025-12-11
150,2450882100998,Commodi ipsum,Cuidado personal e higiene,Cuid-1,Cuid-2-1,226,56500.0,7.12,KG,True,2025-11-04
151,6881435368224,Voluptates laborum,Bebes y maternidad,Bebe-2,Bebe-2-1,533,158900.0,1.59,UN,True,2025-09-25
152,2394312908788,Tempora laudantium,Hogar y limpieza,Hoga-1,Hoga-3-1,2,98800.0,19.58,UN,True,2026-03-19
153,1414139755233,Veritatis qui,Alimentos y bebidas,Alim-2,Alim-3-1,123,186500.0,6.33,UN,True,2026-02-13
154,1491357759496,Architecto totam,Bebes y maternidad,Bebe-3,Bebe-2-1,60,8100.0,18.66,UN,True,2026-02-13
155,2995562053367,Ad provident,Bebes y maternidad,Bebe-2,Bebe-2-1,572,108100.0,13.67,UN,True,2026-03-05
156,4525777547818,Perspiciatis maxime,Alimentos y bebidas,Alim-2,Alim-3-1,354,163600.0,11.34,UN,True,2026-01-04
157,2914283411089,Praesentium labore,Bebes y maternidad,Bebe-1,Bebe-3-2,10,116200.0,,KG,True,2026-03-19
158,0996930848877,Officia iure,Bebes y maternidad,Bebe-3,Bebe-3-1,594,61000.0,13.76,LT,False,2026-03-20
159,2563942788163,Consequuntur voluptas,Ropa y calzado basico,Ropa-2,Ropa-1-1,525,117200.0,13.74,UN,True,2025-10-23
160,5803928272291,Error culpa,Cuidado personal e higiene,Cuid-2,Cuid-1-2,575,212700.0,0.26,UN,False,2025-12-01
161,9275037314531,Quaerat et,Electronica y tecnologia,Elec-1,Elec-3-1,131,53300.0,18.16,KG,True,2025-09-23
162,0385677005184,Quod deleniti,Electronica y tecnologia,Elec-1,Elec-3-1,700,93100.0,7.39,UN,False,2026-01-22
163,4498926659185,Earum porro,Electronica y tecnologia,Elec-1,Elec-3-1,145,247600.0,7.1,UN,True,2025-09-26
164,4638655779086,Asperiores vel,Electronica y tecnologia,Elec-3,Elec-3-1,457,228400.0,8.16,UN,True,2026-02-03
165,2723184322253,Quidem hic,Electronica y tecnologia,Elec-3,Elec-2-1,448,10400.0,13.72,UN,True,2026-02-11
166,9136517773920,Harum facere,Electronica y tecnologia,Elec-1,Elec-2-2,175,133500.0,7.55,UN,True,2025-11-25
167,6030299228094,Molestias quidem,Ropa y calzado basico,Ropa-1,Ropa-3-1,301,18200.0,7.51,UN,True,2026-01-08
168,2024286990419,Tempore ipsum,Electronica y tecnologia,Elec-3,Elec-1-2,42,231100.0,1.32,UN,True,2026-03-12
169,3797723692922,Ad corporis,Alimentos y bebidas,Alim-2,Alim-3-1,378,111500.0,8.36,UN,True,2026-02-02
170,9842579913661,Vel eius,Alimentos y bebidas,Alim-1,Alim-3-2,542,105800.0,3.03,UN,False,2025-12-01
171,2103886291277,Suscipit quis,Bebes y maternidad,Bebe-2,Bebe-3-2,248,69700.0,17.12,UN,False,2026-03-04
172,9908811729800,Commodi exercitationem,Bebes y maternidad,Bebe-1,Bebe-1-1,431,143100.0,6.72,KG,True,2025-09-12
173,6865086376593,Quae maiores,Electronica y tecnologia,Elec-1,Elec-3-1,763,38000.0,19.22,KG,False,2025-10-19
174,9162473149868,Veritatis in,Cuidado personal e higiene,Cuid-2,Cuid-1-2,188,200100.0,13.71,LT,True,2025-11-08
175,4300981806353,Corrupti quo,Ropa y calzado basico,Ropa-3,Ropa-1-2,233,123800.0,15.14,KG,False,2025-11-15
176,6512694486953,Ipsa dolorum,Alimentos y bebidas,Alim-3,Alim-2-1,96,142500.0,18.96,UN,True,2026-01-16
177,9463688725886,Sint et,Hogar y limpieza,Hoga-1,Hoga-1-1,434,210500.0,4.82,UN,True,2026-02-09
178,7449562137213,Dolorem necessitatibus,Cuidado personal e higiene,Cuid-2,Cuid-3-2,164,47900.0,11.37,UN,True,2025-09-14
179,3865890260128,Hic iste,Alimentos y bebidas,Alim-3,Alim-3-2,684,45400.0,0.86,UN,True,2025-10-25
180,7961143519060,Odit aperiam,Ropa y calzado basico,Ropa-3,Ropa-1-1,233,106400.0,2.06,KG,True,2026-02-14
181,6984902770381,At optio,Electronica y tecnologia,Elec-3,Elec-3-1,532,197000.0,,UN,True,2025-12-14
182,4309883920532,Occaecati expedita,Cuidado personal e higiene,Cuid-1,Cuid-2-2,152,16500.0,13.67,LT,True,2025-11-05
183,0214656693800,Eum placeat,Electronica y tecnologia,Elec-1,Elec-3-2,259,199200.0,16.64,UN,True,2025-12-01
184,1184895543930,Ut amet,Alimentos y bebidas,Alim-1,Alim-3-2,137,126200.0,5.17,UN,True,2026-01-03
185,7690426818186,Atque architecto,Hogar y limpieza,Hoga-1,Hoga-2-1,442,141300.0,14.99,KG,True,2026-01-01
186,4518489476972,Nisi magni,Electronica y tecnologia,Elec-1,Elec-1-2,23,142000.0,4.52,UN,True,2026-02-16
187,3577907141633,Earum natus,Hogar y limpieza,Hoga-1,Hoga-1-2,67,15900.0,0.17,KG,True,2026-03-20
188,3565880434163,Aperiam laborum,Ropa y calzado basico,Ropa-2,Ropa-2-2,402,63900.0,1.14,KG,True,2026-02-12
189,5182755394230,Impedit recusandae,Cuidado personal e higiene,Cuid-2,Cuid-3-2,437,189300.0,11.73,KG,True,2025-09-24
190,7333433339526,Placeat blanditiis,Alimentos y bebidas,Alim-2,Alim-2-1,264,104200.0,9.97,KG,True,2025-11-27
191,1117908075951,Ea pariatur,Electronica y tecnologia,Elec-1,Elec-2-1,346,141000.0,5.44,UN,True,2025-12-09
192,7947284639201,Repellat eveniet,Bebes y maternidad,Bebe-1,Bebe-1-2,334,236300.0,0.18,UN,False,2026-01-07
193,8678085627188,Beatae sunt,Hogar y limpieza,Hoga-3,Hoga-3-1,607,13500.0,11.38,KG,True,2026-03-14
194,7500369155944,Amet quibusdam,Alimentos y bebidas,Alim-2,Alim-1-2,358,113500.0,16.36,UN,False,2025-12-02
195,2843479552766,Dolor molestias,Bebes y maternidad,Bebe-1,Bebe-3-2,679,91600.0,1.42,UN,True,2025-11-12
196,3655647292935,Doloremque tenetur,Hogar y limpieza,Hoga-3,Hoga-3-1,174,28400.0,14.74,UN,True,2026-03-02
197,1438663227028,Tenetur perspiciatis,Cuidado personal e higiene,Cuid-3,Cuid-1-1,160,237800.0,,UN,True,2026-01-30
198,6728857448908,Omnis ipsam,Electronica y tecnologia,Elec-3,Elec-1-1,323,240400.0,9.61,UN,True,2025-12-04
199,6120347175453,Nihil sapiente,Cuidado personal e higiene,Cuid-1,Cuid-2-2,66,79200.0,1.01,LT,True,2026-03-08
200,5884506159395,Sequi voluptatibus,Bebes y maternidad,Bebe-2,Bebe-1-2,537,236800.0,18.48,UN,True,2025-11-03
201,9824558771691,Sint a,Cuidado personal e higiene,Cuid-3,Cuid-3-2,313,10700.0,9.57,UN,True,2025-10-22
202,4722569961122,Nostrum voluptate,Electronica y tecnologia,Elec-3,Elec-3-2,294,245300.0,8.02,UN,True,2025-09-08
203,5355449647596,Adipisci in,Electronica y tecnologia,Elec-1,Elec-1-1,428,209300.0,17.24,UN,True,2025-09-20
204,8762202341320,Cum quae,Cuidado personal e higiene,Cuid-3,Cuid-2-2,66,55200.0,16.92,UN,True,2026-02-23
205,6111780068112,Nostrum sint,Hogar y limpieza,Hoga-2,Hoga-1-1,302,150700.0,14.56,UN,True,2025-09-19
206,4921643347221,Molestias accusamus,Alimentos y bebidas,Alim-2,Alim-1-1,778,200000.0,16.6,UN,True,2026-02-03
207,8200557784879,Similique magni,Electronica y tecnologia,Elec-2,Elec-3-1,503,81200.0,2.53,UN,True,2025-09-18
208,2829979688457,Molestiae necessitatibus,Ropa y calzado basico,Ropa-3,Ropa-3-2,460,89700.0,15.23,UN,True,2025-10-20
209,7831745642407,Consequuntur blanditiis,Bebes y maternidad,Bebe-1,Bebe-3-1,405,158000.0,6.59,UN,True,2025-11-13
210,0825478077404,Quos ea,Cuidado personal e higiene,Cuid-2,Cuid-1-1,375,38500.0,17.36,KG,True,2025-10-16
211,6493085368662,Quo repellat,Cuidado personal e higiene,Cuid-3,Cuid-2-2,750,31300.0,7.44,LT,True,2025-09-29
212,3266341638945,Delectus commodi,Electronica y tecnologia,Elec-2,Elec-2-1,745,64000.0,1.13,KG,True,2026-03-20
