id_proveedor,razon_social,pais_origen,tiempo_repo_dias,calificacion_calidad,activo
238,"Moreno, Ortiz and Mercado",Chile,1,3.8,True
239,"Durán, Saavedra and Salazar",Mexico,7,4.5,True
240,"Torres, Sánchez and Ortiz",Peru,12,4.2,True
241,García and Sons,Colombia,10,3.3,True
242,Hurtado-Bravo,Chile,12,4.9,False
243,Mendoza-Correa,Colombia,6,3.7,True
244,Bermúdez-Valderrama,Peru,6,3.0,True
245,"Montoya, Mendoza and Carvajal",Peru,10,3.4,True
246,Galvis-Agudelo,Colombia,3,3.4,False
247,López Ltd,Peru,4,4.0,True
248,"Fernández, Rodríguez and Cabrera",Chile,9,3.8,True
249,Escobar-Castellanos,Peru,10,3.8,True
250,Correa Ltd,Colombia,2,4.4,True
251,Ceballos-Díaz,Colombia,8,4.2,True
252,"Mejía, Aguilar and Tamayo",Chile,6,4.2,False
253,Romero-Quintero,Colombia,8,4.2,False
254,"López, Pérez and Peña",Mexico,14,4.4,True
255,Gutiérrez-Garcés,Peru,2,2.7,True
256,"Gómez, López and Muñoz",Colombia,14,3.8,True
257,Manrique Group,Peru,7,2.7,False
258,"Luna, Rodríguez and Polo",Colombia,11,4.0,True
259,Peña-Díaz,Colombia,6,4.0,True
260,Trujillo-Sierra,Chile,5,4.6,True
261,Ochoa-Ramírez,Peru,11,4.7,True
262,"Hernández, Gutiérrez and Rangel",Colombia,10,4.1,True
263,González-Quiroz,Mexico,3,3.7,False
264,"Vera, Blanco and Álvarez",Ecuador,10,4.3,False
265,Cortés Inc,Ecuador,11,3.7,False
266,Ángel Inc,Chile,6,4.0,True
267,Erazo-Jaimes,Chile,13,4.6,True
268,Sierra Ltd,Mexico,9,3.7,True
269,Palacios-Castro,Peru,5,,True
270,Puentes-Vargas,Chile,1,4.4,True
271,"Sánchez, Ramírez and Carvajal",Mexico,10,3.4,True
272,"Cuéllar, Alvarado and Castro",Colombia,3,4.6,True
273,Herrera-Mesa,Colombia,11,4.4,True
274,Fonseca-Gutiérrez,Ecuador,8,4.1,True
275,Velasco-Murillo,Chile,7,3.5,True
276,"Rincón, Sánchez and Montoya",Chile,3,3.5,True
277,Quintero-Castellanos,Chile,10,3.7,True
278,Cárdenas-Ruiz,Peru,3,4.3,True
279,Puentes and Sons,Colombia,6,3.4,True
280,"Flórez, Ordóñez and Peña",Colombia,12,4.3,True
281,Sarmiento-Rueda,Mexico,13,3.3,True
282,Flórez-Vergara,Chile,14,3.9,True
283,"Puentes, Zapata and Gómez",Peru,14,4.1,True
284,"Paz, Quintero and López",Chile,8,5.0,True
285,López-Vallejo,Chile,3,3.2,True
286,Camargo Group,Ecuador,12,4.9,True
287,"Manrique, García and Ocampo",Colombia,12,4.1,True
288,Quintero-Aguirre,Chile,14,4.2,True
289,"García, Valencia and Gil",Chile,10,4.1,True
290,"Rivera, Ruiz and Pinzón",Chile,2,4.3,True
291,Arboleda-Gómez,Ecuador,8,3.9,True
292,Moreno Ltd,Mexico,7,4.9,True
293,Bolívar-Cano,Ecuador,12,3.7,True
294,Mantilla-Ochoa,Mexico,6,4.7,True
295,"Arboleda, Marín and Vélez",Chile,5,3.6,True
296,Gómez Inc,Chile,2,4.0,True
297,Mosquera-Osorio,Ecuador,12,3.4,True
298,Contreras PLC,Chile,11,4.3,True
299,"Alzate, Pérez and García",Mexico,1,4.9,True
300,Beltrán-Moreno,Colombia,7,4.0,True
301,"Sánchez, Restrepo and Muñoz",Mexico,7,3.9,True
302,Soto-Maldonado,Ecuador,7,,True
303,Galeano-Buitrago,Colombia,13,3.9,False
304,García LLC,Ecuador,3,3.0,True
305,"Jiménez, Burgos and Barrios",Chile,5,3.5,True
306,Meza-Ramírez,Colombia,3,4.1,True
307,Márquez-González,Mexico,4,4.8,True
308,Córdoba-Córdoba,Chile,13,5.0,True
309,"Jiménez, Mantilla and Navarro",Mexico,14,3.6,True
310,Rodríguez-Leal,Colombia,1,4.9,False
311,"Quiroz, Vallejo and Sarmiento",Peru,9,4.1,True
312,Guevara-Torres,Peru,4,3.9,True
313,Torres-Díaz,Colombia,3,4.3,True
314,Buitrago-Camargo,Mexico,5,4.0,True
315,"Duarte, Hernández and López",Mexico,3,4.1,True
316,"Jaimes, Álvarez and Mendoza",Peru,7,3.8,True
317,"Morales, Hernández and Chávez",Peru,14,3.2,True
318,Cano-Díaz,Peru,9,3.1,True
319,Mesa LLC,Ecuador,11,4.4,True
320,"Sierra, Ortiz and Pérez",Peru,7,,True
321,Parada-Jiménez,Mexico,1,3.6,True
322,Cifuentes-Correa,Colombia,2,4.0,True
323,Hernández and Sons,Peru,4,4.5,True
324,"Vanegas, Puentes and Parada",Ecuador,4,4.1,True
325,"Morales, Mercado and Rodríguez",Ecuador,12,3.6,True
326,"González, Arias and Zambrano",Mexico,12,4.7,True
327,Orozco-Pinto,Mexico,12,4.9,True
328,González-Moreno,Colombia,9,4.3,True
329,Beltrán PLC,Colombia,8,4.6,True
330,Ceballos-Torres,Chile,10,4.7,True
331,Acevedo Group,Chile,6,4.7,True
332,"Suárez, Parra and Hernández",Mexico,10,4.4,True
333,Suárez Group,Mexico,12,4.4,True
334,López PLC,Ecuador,11,4.3,True
335,Giraldo LLC,Chile,9,3.3,True
336,"Núñez, Benavides and Montoya",Ecuador,1,4.4,False
337,"Villamizar, Sánchez and Guerrero",Ecuador,11,3.2,True
338,Palacio PLC,Mexico,6,3.5,False
339,Rico-Castro,Mexico,11,4.8,True
340,"Arias, Marín and Quiroga",Ecuador,8,4.5,False
341,López-Duque,Peru,13,4.9,False
342,"Pabón, Franco and Martínez",Mexico,5,3.8,True
343,Díaz-González,Peru,14,3.3,True
344,López-Rojas,Chile,12,3.9,False
345,"Hurtado, Rodríguez and Mesa",Ecuador,5,4.1,False
346,Villamil PLC,Mexico,7,4.0,False
347,García PLC,Ecuador,8,4.7,True
348,Orozco and Sons,Ecuador,11,3.8,True
349,Guevara-Angulo,Colombia,10,4.2,True
350,"Rodríguez, Andrade and Sánchez",Colombia,12,3.4,True
351,Montoya and Sons,Chile,6,4.3,True
352,Durán Inc,Colombia,8,4.0,True
353,Rodríguez and Sons,Mexico,7,3.6,True
354,"Valencia, Pérez and Martínez",Chile,13,3.9,True
355,"Salazar, González and Martínez",Ecuador,5,3.9,True
356,Castaño-Molina,Ecuador,9,3.8,True
357,Cárdenas and Sons,Colombia,2,5.0,True
358,"Gómez, Páez and Gaviria",Ecuador,12,3.9,True
359,"Suárez, Franco and Gómez",Colombia,6,3.9,True
360,Sanabria-Osorio,Peru,5,2.7,True
361,Rincón Group,Ecuador,9,3.5,True
362,Maldonado LLC,Ecuador,7,3.8,False
363,"Sánchez, Hernández and Trujillo",Mexico,12,3.6,True
364,"Caicedo, Valencia and Portilla",Ecuador,8,4.8,True
365,"Jiménez, Mora and Osorio",Colombia,8,3.9,True
366,"González, Hoyos and Monsalve",Chile,2,4.8,True
367,"Camargo, Rojas and Cárdenas",Chile,1,4.0,True
368,Peña Group,Mexico,6,4.0,False
369,Guerrero-López,Colombia,14,3.9,True
370,Álvarez-Muñoz,Peru,13,4.0,True
371,Pacheco Group,Mexico,9,5.0,True
372,López Inc,Peru,9,2.6,True
373,Mejía Ltd,Chile,6,2.8,True
374,"Arias, Hernández and Martínez",Mexico,3,3.7,True
375,"Londoño, Camacho and Peña",Ecuador,1,4.0,True
376,"Ibarra, Salazar and Ceballos",Colombia,5,,False
377,Bolaños PLC,Peru,5,4.3,True
378,Romero-Escobar,Peru,3,3.8,True
379,Sánchez Group,Mexico,4,4.6,False
380,Sanabria LLC,Mexico,1,4.6,True
381,"Morales, Castellanos and Córdoba",Colombia,9,4.1,True
382,Meza-Bastidas,Ecuador,13,4.6,True
383,"Ávila, Franco and Rodríguez",Ecuador,10,,True
384,"Salcedo, Ortiz and Díaz",Mexico,7,3.7,True
385,"Castellanos, Cáceres and Romero",Colombia,6,4.4,True
386,Polo PLC,Colombia,5,4.1,True
387,"Castillo, Sánchez and Barrera",Colombia,2,4.0,True
388,López PLC,Ecuador,9,4.9,True
389,Rivera Group,Ecuador,8,2.5,True
390,Sánchez-Álvarez,Colombia,1,3.1,True
391,Castaño-Ospina,Peru,6,3.3,True
392,Loaiza and Sons,Colombia,4,3.8,True
393,Gallego Inc,Mexico,3,3.8,False
394,"García, Marín and Salazar",Chile,10,3.1,True
395,"Marín, Castro and Tovar",Peru,8,3.4,True
396,Herrera Inc,Ecuador,9,3.5,True
397,Buitrago-Vega,Colombia,10,5.0,True
398,"Soto, Gómez and Medina",Colombia,14,5.0,True
399,"Martínez, Ramírez and Garcés",Mexico,12,3.8,True
400,Cabrera LLC,Mexico,9,3.8,True
401,González-Zapata,Ecuador,13,3.3,True
402,Díaz-Rivera,Peru,7,2.9,True
403,"Torres, Velásquez and Camacho",Mexico,14,3.9,True
404,García-Prieto,Ecuador,11,3.4,True
405,Mejía Group,Chile,10,3.9,True
406,Prieto PLC,Chile,13,3.0,True
407,Córdoba-Blanco,Chile,8,3.5,True
408,Gutiérrez-Parra,Colombia,11,4.1,True
409,Pérez-Erazo,Ecuador,4,4.2,True
410,Roa-Villegas,Colombia,14,,True
411,Mendoza Inc,Colombia,9,,True
412,Mejía Group,Mexico,11,4.5,True
413,"García, Polo and Cano",Mexico,7,,True
414,Quintero and Sons,Colombia,13,4.4,True
415,Palacios Inc,Colombia,2,4.0,True
416,"Palacios, Espitia and Romero",Peru,2,3.2,True
417,"Bustos, Franco and Sánchez",Ecuador,8,3.8,True
418,Sánchez and Sons,Colombia,11,4.2,True
419,Agudelo Ltd,Mexico,12,4.4,True
420,Díaz Ltd,Chile,7,3.9,True
421,Restrepo-Londoño,Ecuador,10,4.9,True
422,"Cardona, Salgado and Ospina",Peru,8,4.6,True
423,"Ospino, Ruiz and Domínguez",Peru,14,3.8,True
424,Sánchez-García,Chile,10,4.5,True
425,Barrera-Rosero,Chile,6,5.0,True
426,"Martínez, Palacios and Álvarez",Colombia,14,5.0,True
427,Gómez-Arias,Ecuador,2,3.3,False
428,García-Alvarado,Ecuador,14,3.4,True
429,Garzón PLC,Colombia,3,4.9,True
430,Restrepo-Cortés,Peru,5,3.4,True
431,"Triana, Cardona and Arrieta",Colombia,12,3.2,True
432,"Díaz, Calderón and Sierra",Peru,11,3.7,True
433,Cardona LLC,Ecuador,14,4.3,True
434,"García, Jaimes and Gómez",Colombia,11,3.9,False
435,"Mendoza, Mendoza and Guzmán",Chile,9,3.6,False
436,Morales LLC,Colombia,5,3.6,True
437,Parra-Quintero,Chile,1,3.6,True
438,"Martínez, Barrera and Quintero",Ecuador,2,3.5,True
439,López-Buitrago,Colombia,5,5.0,True
440,Vargas-Melo,Mexico,1,4.2,True
441,"Arboleda, Quintero and Murillo",Ecuador,8,4.5,False
442,Alarcón LLC,Mexico,11,3.7,True
443,"Benavides, Giraldo and Hurtado",Colombia,14,3.9,True
444,Álvarez Group,Chile,7,3.6,True
445,"Mercado, Guerra and Camacho",Chile,13,2.4,True
446,"Bolívar, Barreto and López",Peru,14,3.2,True
447,"Salazar, Morales and Morales",Mexico,13,2.9,False
448,Angarita LLC,Ecuador,7,2.7,True
449,Ramírez-Anaya,Chile,5,3.3,True
450,García Inc,Mexico,14,4.8,True
451,"Fuentes, Palacio and Loaiza",Ecuador,4,4.0,False
452,Durán PLC,Ecuador,6,4.8,True
453,Hurtado and Sons,Chile,2,4.2,True
454,Díaz Ltd,Colombia,12,4.5,True
455,"Montes, Pérez and Mendoza",Chile,10,3.5,True
456,Morales-Pinzón,Chile,2,4.3,False
457,León-Espinosa,Colombia,4,4.4,True
458,Moreno-Moreno,Peru,8,3.7,False
459,Rentería-Ramírez,Ecuador,8,4.3,True
460,"Erazo, Bustamante and Restrepo",Colombia,12,4.3,True
461,Castaño-Mora,Peru,4,3.7,True
462,Parada-Ayala,Colombia,13,3.3,True
463,"Hernández, Vargas and Bedoya",Peru,7,3.3,True
464,Cortés-López,Chile,12,4.1,True
465,"Melo, Gutiérrez and Castellanos",Colombia,4,4.2,True
466,Cardona-Molina,Ecuador,1,3.5,True
467,López-Vallejo,Colombia,1,4.0,False
468,Loaiza-Granados,Chile,6,4.3,True
469,Martínez-Sierra,Colombia,14,4.4,True
470,Flórez Inc,Ecuador,1,4.9,True
471,Torres-Ruiz,Peru,6,4.8,True
472,Villa Ltd,Ecuador,2,3.4,True
473,Mercado-Hernández,Chile,14,5.0,True
474,Alarcón-Ortega,Chile,10,3.7,True
475,Uribe Group,Peru,11,4.6,True
476,Garzón-Espitia,Peru,10,4.0,True
477,Muñoz and Sons,Ecuador,10,3.8,True
478,"Ballesteros, León and Salazar",Colombia,11,2.9,True
479,Moreno-González,Peru,1,3.9,True
480,Guerrero PLC,Colombia,13,3.1,True
481,Martínez-Perea,Mexico,11,4.6,True
482,Hurtado-Rodríguez,Ecuador,11,4.9,True
483,"Córdoba, Pinzón and Jiménez",Mexico,6,3.5,True
484,Garzón and Sons,Peru,12,4.2,True
485,"Guerrero, Vergara and García",Chile,6,3.6,False
486,Martínez-Silva,Mexico,1,3.6,True
487,"Serna, Palacios and Rodríguez",Mexico,13,4.5,True
488,Gómez-Giraldo,Chile,4,4.0,True
489,Muñoz-Rodríguez,Peru,2,5.0,True
490,Herrera Ltd,Peru,9,3.7,True
491,"Méndez, Fuentes and Galvis",Ecuador,4,4.6,True
492,Hernández-Romero,Ecuador,13,4.1,True
493,Aguilar-Díaz,Peru,7,4.5,True
494,"Restrepo, Vélez and Barrera",Peru,1,3.7,False
495,Martínez Group,Mexico,14,4.0,True
496,Jiménez Inc,Chile,8,3.9,True
497,Rivas LLC,Colombia,4,3.5,True
498,Molina-Villamil,Mexico,10,4.4,False
499,"Ortega, Gómez and Jaimes",Ecuador,8,4.4,True
500,Mosquera-Ocampo,Chile,1,4.4,True
501,"Quintero, González and Morales",Colombia,11,4.9,True
502,Villamizar-Lara,Peru,6,4.9,True
503,Herrera-Díaz,Ecuador,10,3.8,True
504,"Zapata, Salgado and Delgado",Ecuador,13,4.2,True
505,Bonilla Inc,Mexico,9,,True
506,Agudelo-Pinto,Chile,10,4.0,False
507,"Jiménez, López and Valencia",Chile,4,3.6,True
508,Suárez-Agudelo,Mexico,4,5.0,True
509,Pérez-Marín,Mexico,6,4.2,True
510,Gómez-Polo,Mexico,12,3.9,True
511,Garzón-Mejía,Ecuador,8,4.7,True
512,"Puentes, Erazo and García",Peru,5,2.7,True
513,"Parra, Molina and Zambrano",Ecuador,11,2.8,True
514,Cantillo and Sons,Ecuador,12,4.5,True
515,"Buitrago, Mendoza and Hernández",Ecuador,13,4.0,True
516,Patiño LLC,Colombia,5,4.2,True
517,Flórez-Ospina,Ecuador,10,3.2,True
518,"Sánchez, Cardona and Arias",Colombia,9,4.0,True
519,Castellanos-Córdoba,Chile,7,5.0,True
520,"Morales, Álvarez and Castro",Chile,6,,True
521,Rodríguez and Sons,Mexico,2,4.1,True
522,Delgado-Caro,Colombia,4,3.7,True
523,Muñoz LLC,Colombia,8,3.8,False
524,"Marín, Orjuela and Gutiérrez",Ecuador,13,2.7,False
525,Ramírez-Hernández,Mexico,13,4.2,True
526,Cárdenas Ltd,Mexico,3,4.5,True
527,Bolívar-Arrieta,Ecuador,10,3.1,True
528,Soto-Blanco,Colombia,2,3.6,True
529,"Ríos, Galindo and Melo",Ecuador,10,3.3,True
