id_tienda,nom_tienda,tipo_tienda,id_ciudad,id_pais,centro_distribucion,metros_cuadrados,activo,fec_apertura
20,RetailMax Melgar,Hipermercado,Tibirita,Chile,CD Santiago de Chile,497,True,2019-04-09
21,RetailMax Patía,Hipermercado,Arauca,Chile,CD Santiago de Chile,2802,False,2023-07-01
22,RetailMax Valparaíso,Tienda de conveniencia,Uramita,Colombia,CD Bogota,3372,True,2023-08-10
23,RetailMax Zarzal,Supermercado de barrio,Santa Marta,Chile,CD Santiago de Chile,7957,True,2023-08-12
24,RetailMax Boavita,Supermercado de barrio,Jenesano,Mexico,CD Ciudad de Mexico,7020,True,2020-05-12
25,RetailMax San José del Palmar,Supermercado de barrio,Nariño,Colombia,CD Bogota,2536,True,2020-02-21
26,RetailMax El Carmen de Bolívar,Tienda de conveniencia,La Tebaida,Mexico,CD Ciudad de Mexico,1461,True,2017-06-23
27,RetailMax Villapinzón,Hipermercado,Quinchía,Chile,CD Santiago de Chile,485,True,2023-11-24
28,RetailMax Caloto,Hipermercado,Valle de San José,Colombia,CD Bogota,4621,True,2024-10-26
29,RetailMax Tuchín,Supermercado de barrio,Sandoná,Peru,CD Bogota,3646,True,2017-10-22
30,RetailMax Molagavita,Supermercado de barrio,Chalán,Mexico,CD Ciudad de Mexico,4260,True,2021-05-20
31,RetailMax El Rosario,Hipermercado,Buenavista,Mexico,CD Ciudad de Mexico,2291,False,2022-08-31
32,RetailMax Mogotes,Supermercado de barrio,San José de Cúcuta,Peru,CD Bogota,6488,True,2023-03-03
33,RetailMax Útica,Supermercado de barrio,Hatonuevo,Chile,CD Santiago de Chile,4204,True,2018-06-03
34,RetailMax Lejanías,Supermercado de barrio,Nóvita,Mexico,CD Ciudad de Mexico,7358,True,2019-03-07
35,RetailMax Ubalá,Hipermercado,Giraldo,Colombia,CD Bogota,2031,True,2024-03-29
36,RetailMax Sandoná,Supermercado de barrio,Sativasur,Mexico,CD Ciudad de Mexico,2181,True,2023-01-04
37,RetailMax Monguí,Supermercado de barrio,Santa Rosa,Peru,CD Bogota,4750,True,2018-07-13
38,RetailMax Páramo,Supermercado de barrio,Turbaná,Ecuador,CD Bogota,5591,True,2019-08-27
39,RetailMax Chipaque,Hipermercado,Curumaní,Chile,CD Santiago de Chile,2466,True,2018-12-25
40,RetailMax Suárez,Tienda de conveniencia,Istmina,Chile,CD Santiago de Chile,4449,True,2024-05-11
41,RetailMax Santa Fé de Antioquia,Supermercado de barrio,La Sierra,Chile,CD Santiago de Chile,4161,True,2020-12-01
42,RetailMax Ponedera,Hipermercado,Convención,Chile,CD Santiago de Chile,5352,True,2025-02-16
43,RetailMax Apía,Supermercado de barrio,Villa Rica,Colombia,CD Bogota,5145,True,2021-12-23
44,RetailMax El Calvario,Hipermercado,Bucarasica,Mexico,CD Ciudad de Mexico,1722,True,2024-10-27
45,RetailMax San Francisco,Supermercado de barrio,Puerto Concordia,Mexico,CD Ciudad de Mexico,1042,True,2023-06-22
46,RetailMax Trujillo,Supermercado de barrio,Morroa,Mexico,CD Ciudad de Mexico,2290,True,2023-07-17
47,RetailMax Sincelejo,Hipermercado,Zambrano,Mexico,CD Ciudad de Mexico,1141,True,2024-02-17
48,RetailMax Ocaña,Tienda de conveniencia,San Antero,Ecuador,CD Bogota,4466,True,2018-09-13
49,RetailMax Olaya Herrera,Supermercado de barrio,Colón,Peru,CD Bogota,4170,True,2022-08-18
50,RetailMax San Vicente de Chucurí,Hipermercado,San Juan de Betulia,Peru,CD Bogota,173,True,2024-06-10
51,RetailMax San Andrés,Hipermercado,El Bagre,Peru,CD Bogota,6624,True,2017-07-23
52,RetailMax Santa Rosa,Hipermercado,San Juan de Urabá,Chile,CD Santiago de Chile,5773,True,2025-05-27
53,RetailMax Providencia,Tienda de conveniencia,Cómbita,Chile,CD Santiago de Chile,3812,False,2024-06-17
54,RetailMax Achí,Supermercado de barrio,Concepción,Colombia,CD Bogota,1418,True,2018-09-01
55,RetailMax Charta,Supermercado de barrio,Cumaribo,Peru,CD Bogota,1413,True,2021-12-21
56,RetailMax Los Patios,Hipermercado,Riosucio,Colombia,CD Bogota,7460,True,2022-08-07
57,RetailMax Colón,Supermercado de barrio,San Juan de Arama,Chile,CD Santiago de Chile,2002,True,2023-03-04
58,RetailMax Acacías,Supermercado de barrio,Palmar de Varela,Colombia,CD Bogota,6905,True,2020-11-03
59,RetailMax Tiquisio,Supermercado de barrio,Sutamarchán,Mexico,CD Ciudad de Mexico,5358,True,2022-09-24
60,RetailMax Molagavita,Hipermercado,Viterbo,Colombia,CD Bogota,5043,True,2024-12-27
61,RetailMax Susacón,Hipermercado,Tenjo,Chile,CD Santiago de Chile,6711,True,2017-10-05
62,RetailMax El Tarra,Tienda de conveniencia,Campo de la Cruz,Peru,CD Bogota,7144,True,2018-03-23
63,RetailMax Manta,Supermercado de barrio,San José del Fragua,Colombia,CD Bogota,2273,True,2024-03-25
64,RetailMax Ventaquemada,Hipermercado,San Carlos,Colombia,CD Bogota,7899,False,2021-07-14
65,RetailMax Calamar,Supermercado de barrio,Paz de Ariporo,Ecuador,CD Bogota,1155,True,2021-12-14
66,RetailMax Planeta Rica,Supermercado de barrio,Sabana de Torres,Colombia,CD Bogota,6233,True,2024-12-10
67,RetailMax La Belleza,Supermercado de barrio,Puerto Santander,Chile,CD Santiago de Chile,3181,True,2022-05-27
68,RetailMax Tarazá,Tienda de conveniencia,Piendamó - Tunía,Peru,CD Bogota,5069,True,2020-06-21
69,RetailMax Gámeza,Hipermercado,San Francisco,Chile,CD Santiago de Chile,6704,True,2024-10-27
70,RetailMax San Sebastián de Mariquita,Tienda de conveniencia,González,Colombia,CD Bogota,3676,True,2022-09-04
71,RetailMax Tiquisio,Hipermercado,Barrancominas,Chile,CD Santiago de Chile,790,True,2023-08-12
72,RetailMax Nátaga,Hipermercado,Guayatá,Ecuador,CD Bogota,6536,True,2022-10-10
73,RetailMax Planadas,Supermercado de barrio,Acevedo,Colombia,CD Bogota,1183,True,2020-07-03
74,RetailMax Manzanares,Supermercado de barrio,San Pedro,Chile,CD Santiago de Chile,5679,True,2022-04-29
75,RetailMax Puerto Rico,Hipermercado,Ocaña,Colombia,CD Bogota,3604,True,2019-05-16
76,RetailMax Otanche,Hipermercado,Sonsón,Ecuador,CD Bogota,3860,True,2021-07-03
77,RetailMax Bojayá,Hipermercado,Une,Colombia,CD Bogota,2208,True,2019-12-30
78,RetailMax Salamina,Supermercado de barrio,Amalfi,Colombia,CD Bogota,4075,True,2020-08-04
79,RetailMax Chiriguaná,Supermercado de barrio,Santiago,Colombia,CD Bogota,1619,True,2018-12-20
80,RetailMax Boavita,Hipermercado,Jambaló,Ecuador,CD Bogota,1947,True,2024-06-22
81,RetailMax Salento,Tienda de conveniencia,Concepción,Mexico,CD Ciudad de Mexico,3864,True,2017-07-16
82,RetailMax La Jagua del Pilar,Supermercado de barrio,Sotaquirá,Colombia,CD Bogota,6340,True,2019-06-25
83,RetailMax Mahates,Tienda de conveniencia,Marmato,Colombia,CD Bogota,4182,True,2024-01-19
84,RetailMax Chitagá,Hipermercado,Tópaga,Peru,CD Bogota,7044,True,2025-06-15
85,RetailMax Atrato,Hipermercado,Pasto,Colombia,CD Bogota,2303,True,2025-06-20
86,RetailMax Nuquí,Supermercado de barrio,El Charco,Mexico,CD Ciudad de Mexico,279,True,2019-12-08
87,RetailMax Betéitiva,Supermercado de barrio,González,Mexico,CD Ciudad de Mexico,2568,True,2022-03-16
88,RetailMax Cumaribo,Supermercado de barrio,Piedecuesta,Chile,CD Santiago de Chile,1028,True,2024-03-04
89,RetailMax Carepa,Hipermercado,El Peñón,Chile,CD Santiago de Chile,4256,True,2023-01-25
90,RetailMax Sitionuevo,Tienda de conveniencia,Viterbo,Peru,CD Bogota,7931,True,2022-01-03
91,RetailMax Susa,Supermercado de barrio,La Victoria,Colombia,CD Bogota,3986,True,2025-05-04
92,RetailMax Ciudad Bolívar,Supermercado de barrio,Anzá,Mexico,CD Ciudad de Mexico,1548,True,2021-01-24
93,RetailMax Hispania,Supermercado de barrio,Funes,Colombia,CD Bogota,4732,True,2025-05-19
94,RetailMax Orocué,Hipermercado,Bosconia,Mexico,CD Ciudad de Mexico,5931,True,2020-05-11
95,RetailMax El Piñón,Hipermercado,El Tambo,Mexico,CD Ciudad de Mexico,6984,True,2025-03-05
96,RetailMax Anapoima,Tienda de conveniencia,Sabana de Torres,Mexico,CD Ciudad de Mexico,3924,True,2019-03-07
97,RetailMax Monterrey,Supermercado de barrio,Paz de Río,Ecuador,CD Bogota,3481,True,2023-08-07
98,RetailMax Campamento,Hipermercado,Ocamonte,Ecuador,CD Bogota,4242,True,2021-06-09
99,RetailMax Topaipí,Hipermercado,San Luis de Gaceno,Colombia,CD Bogota,1828,True,2022-07-05
100,RetailMax La Merced,Hipermercado,Remedios,Chile,CD Santiago de Chile,1000,True,2018-06-13
101,RetailMax Concepción,Tienda de conveniencia,Güepsa,Chile,CD Santiago de Chile,6207,True,2019-02-25
102,RetailMax San Luis de Sincé,Tienda de conveniencia,Sardinata,Ecuador,CD Bogota,1232,True,2017-10-31
103,RetailMax Teorama,Supermercado de barrio,Sampués,Colombia,CD Bogota,5558,True,2019-10-20
104,RetailMax Corrales,Tienda de conveniencia,Nariño,Mexico,CD Ciudad de Mexico,4686,True,2017-08-29
105,RetailMax Peñol,Supermercado de barrio,Ubaque,Mexico,CD Ciudad de Mexico,3850,True,2023-10-30
106,RetailMax Sampués,Tienda de conveniencia,Caramanta,Colombia,CD Bogota,3114,True,2023-01-20
107,RetailMax El Retorno,Supermercado de barrio,La Llanada,Mexico,CD Ciudad de Mexico,7872,True,2019-01-11
108,RetailMax El Peñón,Tienda de conveniencia,El Águila,Colombia,CD Bogota,6410,True,2025-05-31
109,RetailMax Puebloviejo,Tienda de conveniencia,Lorica,Colombia,CD Bogota,1435,True,2024-03-17
110,RetailMax El Peñón,Supermercado de barrio,Carolina,Chile,CD Santiago de Chile,7780,True,2019-10-19
111,RetailMax Beltrán,Hipermercado,Gama,Colombia,CD Bogota,1168,True,2022-05-24
112,RetailMax Busbanzá,Hipermercado,Colosó,Colombia,CD Bogota,6526,True,2023-08-11
113,RetailMax Chivatá,Hipermercado,Ciénaga,Mexico,CD Ciudad de Mexico,3499,True,2023-03-09
114,RetailMax Florida,Hipermercado,Guachetá,Mexico,CD Ciudad de Mexico,3336,True,2019-05-16
115,RetailMax Entrerríos,Supermercado de barrio,Casabianca,Chile,CD Santiago de Chile,4108,True,2021-09-25
116,RetailMax Trinidad,Supermercado de barrio,Paime,Ecuador,CD Bogota,3935,True,2025-08-20
117,RetailMax Galeras,Hipermercado,Sandoná,Mexico,CD Ciudad de Mexico,1139,True,2021-06-08
118,RetailMax Paz de Ariporo,Tienda de conveniencia,Zaragoza,Colombia,CD Bogota,1380,True,2019-04-18
119,RetailMax Calamar,Hipermercado,Sevilla,Colombia,CD Bogota,5925,True,2024-04-23
120,RetailMax Sitionuevo,Hipermercado,Hato Corozal,Mexico,CD Ciudad de Mexico,5611,True,2025-02-06
121,RetailMax San José de Miranda,Hipermercado,La Jagua de Ibirico,Colombia,CD Bogota,3235,True,2020-07-09
122,RetailMax San Antonio del Tequendama,Tienda de conveniencia,Angostura,Peru,CD Bogota,3661,True,2018-06-15
123,RetailMax Macanal,Supermercado de barrio,Buenavista,Mexico,CD Ciudad de Mexico,3158,True,2025-02-04
124,RetailMax Cimitarra,Hipermercado,Santa Rosa de Viterbo,Mexico,CD Ciudad de Mexico,6880,True,2020-04-30
125,RetailMax Rovira,Hipermercado,Ricaurte,Peru,CD Bogota,694,True,2019-04-13
126,RetailMax Ponedera,Supermercado de barrio,Hato Corozal,Chile,CD Santiago de Chile,5268,True,2024-05-07
127,RetailMax Contratación,Tienda de conveniencia,Moniquirá,Chile,CD Santiago de Chile,2568,True,2023-07-16
128,RetailMax Santa Marta,Supermercado de barrio,Piedecuesta,Mexico,CD Ciudad de Mexico,1488,True,2021-07-04
129,RetailMax Jesús María,Supermercado de barrio,Sonsón,Colombia,CD Bogota,1383,True,2020-08-29
130,RetailMax Carmen de Apicalá,Supermercado de barrio,Villeta,Mexico,CD Ciudad de Mexico,3376,True,2021-07-12
131,RetailMax Santa Bárbara,Hipermercado,Cerrito,Colombia,CD Bogota,1289,True,2024-03-02
132,RetailMax Puerto Caicedo,Supermercado de barrio,Santa Isabel,Mexico,CD Ciudad de Mexico,5464,True,2018-06-16
133,RetailMax Girón,Supermercado de barrio,Tipacoque,Peru,CD Bogota,2724,True,2022-03-22
134,RetailMax Guaca,Supermercado de barrio,Campoalegre,Mexico,CD Ciudad de Mexico,6884,True,2021-04-21
135,RetailMax Ansermanuevo,Hipermercado,San José de Pare,Colombia,CD Bogota,1294,True,2021-04-11
136,RetailMax Santa Rosalía,Hipermercado,San Benito,Colombia,CD Bogota,2903,True,2021-02-26
137,RetailMax Puerto Arica,Supermercado de barrio,Norosí,Peru,CD Bogota,3153,True,2023-04-19
138,RetailMax Remolino,Supermercado de barrio,Santo Tomás,Colombia,CD Bogota,5405,True,2023-01-22
139,RetailMax La Capilla,Supermercado de barrio,Galán,Mexico,CD Ciudad de Mexico,2474,True,2024-07-15
140,RetailMax El Guacamayo,Supermercado de barrio,Chinú,Chile,CD Santiago de Chile,1512,True,2019-09-11
141,RetailMax Balboa,Tienda de conveniencia,Suratá,Colombia,CD Bogota,3335,True,2023-02-07
142,RetailMax Fredonia,Tienda de conveniencia,Trinidad,Chile,CD Santiago de Chile,7251,True,2025-04-07
143,RetailMax El Copey,Supermercado de barrio,Ituango,Colombia,CD Bogota,6542,True,2025-04-18
144,RetailMax Mallama,Tienda de conveniencia,Necoclí,Chile,CD Santiago de Chile,4665,True,2017-09-23
145,RetailMax Sutamarchán,Supermercado de barrio,Tabio,Colombia,CD Bogota,7966,True,2022-03-01
146,RetailMax Chámeza,Supermercado de barrio,San José de Miranda,Colombia,CD Bogota,6183,True,2020-09-12
147,RetailMax Linares,Supermercado de barrio,Sutatenza,Colombia,CD Bogota,6159,True,2021-04-16
148,RetailMax Ibagué,Hipermercado,Alejandría,Peru,CD Bogota,3265,True,2018-09-25
149,RetailMax Colombia,Supermercado de barrio,Supía,Mexico,CD Ciudad de Mexico,4040,True,2018-05-21
150,RetailMax Yondó,Supermercado de barrio,San Andrés,Peru,CD Bogota,7533,True,2019-04-06
