id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
37,880408,4573,11,2026-01-01,2,Talla incorrecta,Ecommerce,En proceso,8300.0
38,218379,458,52,2026-08-07,2,Producto defectuoso,Tienda fisica,Aprobada,36000.0
39,510695,785,79,2025-11-30,1,Talla incorrecta,Tienda fisica,Aprobada,173900.0
40,431512,2356,30,2026-07-24,1,Producto defectuoso,Tienda fisica,Aprobada,192200.0
41,311508,3473,140,2025-09-17,2,Producto defectuoso,Marketplace,Aprobada,158500.0
42,593736,947,120,2025-11-26,2,Producto defectuoso,Ecommerce,Rechazada,42300.0
43,438054,40,131,2026-01-29,2,No cumple expectativas,Tienda fisica,Rechazada,172200.0
44,807775,89,22,2026-09-04,2,Talla incorrecta,Tienda fisica,Aprobada,101500.0
45,161913,1596,128,2025-09-22,1,Error en pedido,Tienda fisica,Aprobada,115000.0
46,215598,149,88,2026-03-26,2,No cumple expectativas,Ecommerce,En proceso,169100.0
47,332271,3194,22,2026-03-15,2,Talla incorrecta,Tienda fisica,Aprobada,22300.0
48,351876,480,46,2026-08-15,1,No cumple expectativas,Tienda fisica,Aprobada,164100.0
49,580043,2026,142,2025-12-13,2,Talla incorrecta,Ecommerce,En proceso,35800.0
50,795539,3719,78,2026-01-06,1,No cumple expectativas,Tienda fisica,Rechazada,121100.0
51,884345,1804,9,2026-09-12,2,Error en pedido,Tienda fisica,Aprobada,155300.0
52,332716,2433,79,2026-08-28,2,No cumple expectativas,Tienda fisica,En proceso,216200.0
53,479293,2781,94,2026-08-21,2,No cumple expectativas,Marketplace,Aprobada,83500.0
54,23827,4040,28,2025-10-29,1,Talla incorrecta,Tienda fisica,Aprobada,33500.0
55,352338,4758,126,2026-03-22,2,Talla incorrecta,Ecommerce,Aprobada,182000.0
56,502107,3138,150,2025-11-03,2,No cumple expectativas,Tienda fisica,Aprobada,192000.0
57,621769,4492,16,2026-04-19,2,Error en pedido,Tienda fisica,Aprobada,35400.0
58,962215,2413,2,2026-09-10,2,Talla incorrecta,Tienda fisica,Aprobada,43500.0
59,368390,2555,39,2026-09-03,2,Talla incorrecta,Marketplace,Aprobada,85400.0
60,981750,3940,52,2026-07-24,2,Error en pedido,Tienda fisica,En proceso,172700.0
61,49812,1129,124,2026-03-20,1,Producto vencido,Tienda fisica,Aprobada,21800.0
62,159769,3652,43,2026-04-02,1,No cumple expectativas,Tienda fisica,Aprobada,57000.0
63,34211,4618,90,2026-05-20,2,Producto defectuoso,Ecommerce,Aprobada,43900.0
64,380098,1143,138,2026-06-19,2,Talla incorrecta,Tienda fisica,Aprobada,42100.0
65,698410,339,52,2026-07-06,1,No cumple expectativas,Tienda fisica,Aprobada,162300.0
66,506271,4698,35,2025-10-07,2,Talla incorrecta,Tienda fisica,Aprobada,69800.0
67,441172,795,130,2026-06-18,2,No cumple expectativas,Marketplace,Aprobada,19300.0
68,486313,1551,109,2025-12-26,2,Producto defectuoso,Tienda fisica,Aprobada,205500.0
69,247966,2810,81,2025-11-18,2,Producto defectuoso,Ecommerce,Rechazada,9300.0
70,399111,206,16,2025-09-24,1,Producto defectuoso,Tienda fisica,En proceso,187900.0
71,92502,233,82,2026-03-19,1,Producto defectuoso,Tienda fisica,Aprobada,196000.0
72,255387,2299,132,2025-09-27,2,Producto defectuoso,Ecommerce,Aprobada,78700.0
73,891552,3315,98,2025-12-24,2,Error en pedido,Ecommerce,Rechazada,93800.0
74,644199,4976,33,2026-08-12,1,Producto vencido,Ecommerce,Aprobada,139800.0
75,685434,193,64,2026-01-10,2,No cumple expectativas,Tienda fisica,Aprobada,13500.0
76,817518,2881,141,2026-09-05,2,Talla incorrecta,Tienda fisica,Rechazada,172900.0
77,393233,351,89,2026-06-21,2,No cumple expectativas,Tienda fisica,Aprobada,29800.0
78,539173,881,1,2026-05-13,2,No cumple expectativas,Tienda fisica,Aprobada,182300.0
79,745740,4565,100,2026-04-24,1,Talla incorrecta,Tienda fisica,Aprobada,58400.0
80,278540,1364,64,2026-05-24,1,Producto defectuoso,Tienda fisica,Aprobada,231200.0
81,276321,1064,75,2026-07-23,2,Error en pedido,Ecommerce,Aprobada,51500.0
82,985943,2563,13,2025-10-12,1,No cumple expectativas,Marketplace,Aprobada,120800.0
83,110707,2849,59,2026-04-11,2,Producto vencido,Tienda fisica,Aprobada,9500.0
84,208747,562,103,2026-06-15,1,Producto defectuoso,Ecommerce,En proceso,141300.0
85,88201,592,100,2026-03-28,2,Producto defectuoso,Tienda fisica,Aprobada,125700.0
86,156065,2562,14,2026-06-19,2,Error en pedido,Ecommerce,Rechazada,49900.0
87,341489,4593,45,2026-01-29,2,Talla incorrecta,Ecommerce,Aprobada,151200.0
88,646426,278,68,2026-01-21,2,Producto defectuoso,Ecommerce,Aprobada,172300.0
89,236462,4366,107,2026-08-16,1,Error en pedido,Tienda fisica,Rechazada,37000.0
90,700181,4493,11,2026-01-29,1,No cumple expectativas,Tienda fisica,En proceso,72300.0
91,688512,1297,31,2025-12-09,2,No cumple expectativas,Tienda fisica,Aprobada,118700.0
92,879634,3534,67,2026-01-25,2,Error en pedido,Ecommerce,Aprobada,138200.0
93,83030,4322,129,2026-01-29,2,Producto defectuoso,Tienda fisica,Rechazada,18800.0
94,955702,1229,17,2026-04-08,1,Error en pedido,Tienda fisica,Aprobada,63000.0
95,668897,1347,146,2026-02-21,2,Producto defectuoso,Tienda fisica,Aprobada,35600.0
96,599706,3022,64,2026-08-11,1,Producto defectuoso,Ecommerce,En proceso,156500.0
97,724195,4502,100,2026-02-17,1,Error en pedido,Ecommerce,Aprobada,13800.0
98,390867,2342,130,2026-01-14,2,No cumple expectativas,Marketplace,En proceso,47000.0
99,839949,335,143,2026-05-02,2,Error en pedido,Tienda fisica,Aprobada,45600.0
100,86639,3031,70,2026-07-16,2,Error en pedido,Ecommerce,Aprobada,218200.0
101,692042,4914,82,2026-08-15,1,No cumple expectativas,Tienda fisica,En proceso,226900.0
102,754680,2964,144,2026-06-10,2,Error en pedido,Tienda fisica,Aprobada,241500.0
103,207606,4105,11,2025-10-19,1,Producto defectuoso,Ecommerce,Aprobada,1800.0
104,334448,2954,126,2026-07-30,2,Error en pedido,Tienda fisica,Aprobada,37800.0
105,981914,287,48,2025-11-03,2,Producto defectuoso,Ecommerce,En proceso,149500.0
106,118144,4301,131,2026-05-14,1,Producto defectuoso,Tienda fisica,En proceso,100700.0
107,953990,607,87,2026-05-11,2,Producto defectuoso,Tienda fisica,Aprobada,176000.0
108,677765,2746,80,2026-02-10,2,No cumple expectativas,Tienda fisica,Aprobada,204300.0
109,367352,4037,82,2025-09-23,1,No cumple expectativas,Marketplace,Aprobada,17500.0
110,260312,2671,3,2026-05-10,1,Producto defectuoso,Tienda fisica,En proceso,15400.0
111,618605,4281,51,2026-04-26,2,No cumple expectativas,Tienda fisica,Aprobada,175200.0
112,210342,2191,139,2026-06-09,2,Producto defectuoso,Marketplace,Aprobada,195700.0
113,319106,2345,136,2026-03-28,1,Talla incorrecta,Tienda fisica,Aprobada,4100.0
114,357854,1491,127,2026-01-26,2,Producto defectuoso,Tienda fisica,Rechazada,62600.0
115,775039,680,77,2025-09-09,2,Error en pedido,Ecommerce,Aprobada,72800.0
116,960325,4800,36,2026-06-22,2,Producto defectuoso,Ecommerce,Aprobada,153100.0
117,249625,3910,10,2026-02-25,2,No cumple expectativas,Tienda fisica,Aprobada,160600.0
118,334990,4271,113,2025-12-11,2,Talla incorrecta,Tienda fisica,Aprobada,55100.0
119,700140,256,99,2026-03-18,1,Talla incorrecta,Tienda fisica,Aprobada,144200.0
120,351253,4196,130,2026-08-29,1,Error en pedido,Tienda fisica,Aprobada,186200.0
121,224937,4767,87,2026-01-24,1,Producto defectuoso,Ecommerce,Aprobada,194300.0
122,651065,2793,84,2025-12-15,1,Producto defectuoso,Ecommerce,Aprobada,41000.0
123,215080,736,37,2026-09-08,2,Producto vencido,Tienda fisica,Aprobada,64800.0
124,755957,2800,54,2026-06-03,1,Error en pedido,Tienda fisica,Aprobada,91300.0
125,748340,1193,85,2026-04-10,1,Talla incorrecta,Ecommerce,En proceso,48800.0
126,679362,2796,15,2026-06-23,1,Producto defectuoso,Ecommerce,Aprobada,140900.0
127,407396,2044,3,2026-02-02,1,No cumple expectativas,Tienda fisica,Rechazada,139600.0
128,452015,4127,26,2026-08-18,2,Producto vencido,Ecommerce,Aprobada,102000.0
129,539815,4598,66,2026-08-27,1,Error en pedido,Tienda fisica,Aprobada,116800.0
130,41462,4816,75,2026-05-27,1,No cumple expectativas,Ecommerce,Aprobada,204000.0
131,437651,4161,40,2025-11-04,1,Talla incorrecta,Ecommerce,Aprobada,27300.0
132,827588,1980,137,2026-08-02,2,Producto defectuoso,Ecommerce,Rechazada,34300.0
133,109404,182,142,2026-05-22,1,Talla incorrecta,Tienda fisica,Aprobada,16000.0
134,306473,2672,61,2026-08-03,1,Error en pedido,Tienda fisica,Aprobada,45200.0
135,497351,3378,20,2026-02-01,2,Producto vencido,Tienda fisica,Aprobada,118800.0
136,995046,4708,51,2026-05-19,2,Producto defectuoso,Ecommerce,Aprobada,38100.0
137,280938,575,41,2026-07-15,2,Error en pedido,Tienda fisica,Aprobada,134400.0
138,462288,3161,149,2025-11-13,2,Talla incorrecta,Tienda fisica,En proceso,163100.0
139,331789,35,126,2026-01-06,1,Error en pedido,Marketplace,Aprobada,182200.0
140,996978,4852,98,2026-02-19,1,Error en pedido,Marketplace,Aprobada,136300.0
141,899529,802,66,2026-02-22,2,No cumple expectativas,Tienda fisica,Aprobada,183100.0
142,721175,542,74,2026-07-31,2,No cumple expectativas,Tienda fisica,Aprobada,15400.0
143,933119,4596,15,2026-05-26,2,Producto defectuoso,Ecommerce,En proceso,181600.0
144,624750,785,117,2026-01-26,2,No cumple expectativas,Tienda fisica,Aprobada,219100.0
145,538775,2448,59,2025-11-09,2,Error en pedido,Tienda fisica,En proceso,176300.0
146,80092,3561,80,2026-08-17,1,Producto vencido,Ecommerce,En proceso,127700.0
147,165774,3157,40,2026-02-10,2,Error en pedido,Marketplace,Aprobada,25000.0
148,591726,3869,83,2025-11-01,1,No cumple expectativas,Tienda fisica,Aprobada,149800.0
149,18113,3599,89,2025-11-30,1,Talla incorrecta,Ecommerce,Aprobada,69200.0
150,257645,17,73,2026-07-04,2,Error en pedido,Ecommerce,Aprobada,192100.0
151,325062,3857,100,2026-05-24,1,Producto vencido,Ecommerce,Aprobada,201700.0
152,437973,2020,64,2025-11-04,1,Producto defectuoso,Tienda fisica,Rechazada,106800.0
153,515759,3225,143,2026-02-28,2,No cumple expectativas,Tienda fisica,Aprobada,77900.0
154,383002,496,16,2026-05-03,1,Producto defectuoso,Tienda fisica,Aprobada,86200.0
155,534287,2077,23,2026-06-18,1,No cumple expectativas,Tienda fisica,Aprobada,193000.0
156,507896,2115,122,2025-11-28,1,No cumple expectativas,Tienda fisica,Aprobada,206400.0
157,768893,4159,68,2026-07-08,1,Producto vencido,Ecommerce,Aprobada,200200.0
158,727833,3897,112,2026-03-18,1,No cumple expectativas,Ecommerce,Aprobada,193400.0
159,966679,1827,109,2025-09-26,2,Error en pedido,Tienda fisica,Aprobada,157700.0
160,213871,1748,129,2026-05-06,1,Talla incorrecta,Tienda fisica,Aprobada,48300.0
161,844088,2759,34,2025-11-29,1,Error en pedido,Ecommerce,Aprobada,177200.0
162,507102,3091,15,2025-10-29,2,Talla incorrecta,Tienda fisica,Aprobada,21800.0
163,660799,1836,111,2025-11-24,2,Error en pedido,Ecommerce,Aprobada,117900.0
164,220761,3010,83,2026-09-14,1,Error en pedido,Tienda fisica,Aprobada,133300.0
165,528528,3820,9,2026-06-19,2,Talla incorrecta,Marketplace,En proceso,225800.0
166,831523,4141,39,2025-12-21,1,Talla incorrecta,Ecommerce,En proceso,195400.0
167,414335,4590,80,2025-12-28,2,Error en pedido,Tienda fisica,Aprobada,135500.0
168,199095,762,87,2026-04-01,1,Producto defectuoso,Tienda fisica,En proceso,100300.0
169,542904,467,27,2025-11-26,2,Producto defectuoso,Tienda fisica,Aprobada,93600.0
170,491542,4555,74,2025-09-29,1,Producto defectuoso,Ecommerce,Aprobada,217100.0
171,957203,3511,105,2026-06-20,2,No cumple expectativas,Ecommerce,Aprobada,55900.0
172,862191,1423,91,2026-03-15,2,Producto defectuoso,Tienda fisica,En proceso,175200.0
173,94430,2446,125,2025-12-06,1,Producto defectuoso,Tienda fisica,Aprobada,198300.0
174,46774,2823,73,2026-07-24,2,Producto defectuoso,Tienda fisica,En proceso,156800.0
175,605916,4707,74,2026-08-14,2,Producto defectuoso,Tienda fisica,Aprobada,168000.0
176,442068,3636,126,2026-05-03,1,No cumple expectativas,Tienda fisica,Aprobada,71700.0
177,418194,2735,111,2026-04-03,2,Producto vencido,Ecommerce,En proceso,127700.0
178,118257,1035,63,2026-09-13,1,Producto defectuoso,Tienda fisica,Aprobada,55500.0
179,44767,4149,66,2026-05-31,1,No cumple expectativas,Tienda fisica,Aprobada,9700.0
180,14443,955,138,2026-08-31,1,Producto defectuoso,Tienda fisica,Aprobada,177000.0
181,393049,4688,148,2025-09-30,1,Error en pedido,Tienda fisica,Aprobada,199900.0
182,244876,757,109,2026-08-12,2,Producto defectuoso,Ecommerce,Rechazada,122900.0
183,598797,2469,130,2026-02-24,1,Error en pedido,Ecommerce,En proceso,11100.0
184,179999,2581,80,2026-07-27,2,Producto vencido,Ecommerce,Aprobada,148400.0
185,350264,2144,127,2026-01-30,1,Producto defectuoso,Tienda fisica,Aprobada,24700.0
186,746426,1815,3,2026-04-26,2,Producto defectuoso,Tienda fisica,En proceso,239500.0
187,582069,783,31,2026-03-23,1,Talla incorrecta,Tienda fisica,Aprobada,38800.0
188,128540,327,77,2026-01-28,1,Error en pedido,Tienda fisica,Aprobada,40300.0
189,458870,32,60,2026-06-25,2,Talla incorrecta,Tienda fisica,Aprobada,170700.0
190,588306,2250,84,2025-09-21,2,No cumple expectativas,Tienda fisica,Rechazada,220900.0
191,629284,3164,130,2026-09-01,1,No cumple expectativas,Tienda fisica,Aprobada,74400.0
192,853607,2929,150,2026-04-26,2,Error en pedido,Tienda fisica,Aprobada,31500.0
193,884452,338,55,2026-03-31,2,No cumple expectativas,Ecommerce,Rechazada,39100.0
194,817872,2561,123,2026-02-16,1,Error en pedido,Tienda fisica,Aprobada,180900.0
195,706002,4740,127,2025-10-24,2,Producto vencido,Tienda fisica,Aprobada,93700.0
196,430923,4521,94,2025-10-16,2,Error en pedido,Tienda fisica,En proceso,98400.0
197,619622,4351,29,2025-12-30,1,Producto vencido,Tienda fisica,En proceso,164300.0
198,434210,2021,110,2025-11-26,1,Error en pedido,Tienda fisica,Aprobada,197500.0
199,920137,41,96,2026-03-16,1,Error en pedido,Tienda fisica,Aprobada,227900.0
200,6991,3860,83,2026-01-12,1,Error en pedido,Marketplace,Aprobada,145900.0
201,330513,3110,44,2026-01-22,1,No cumple expectativas,Ecommerce,Aprobada,165700.0
202,514912,3523,7,2026-03-28,1,Producto defectuoso,Tienda fisica,Rechazada,207400.0
203,246619,1649,52,2025-09-29,2,Error en pedido,Ecommerce,Aprobada,187900.0
204,472293,388,51,2026-05-31,2,No cumple expectativas,Tienda fisica,Aprobada,54700.0
205,907565,1787,137,2026-09-06,1,Producto defectuoso,Ecommerce,Aprobada,155400.0
206,257930,3506,26,2026-08-24,2,Error en pedido,Tienda fisica,Aprobada,227600.0
207,943580,690,144,2026-02-25,2,No cumple expectativas,Marketplace,Aprobada,83000.0
208,998375,62,6,2025-12-24,2,Talla incorrecta,Tienda fisica,Aprobada,69800.0
209,514864,4080,122,2026-06-04,1,Error en pedido,Marketplace,Aprobada,205700.0
210,3178,4855,10,2026-08-28,1,No cumple expectativas,Tienda fisica,Aprobada,18600.0
211,179271,4924,80,2026-02-28,2,Producto defectuoso,Ecommerce,En proceso,55500.0
212,232863,1214,34,2026-02-02,2,Error en pedido,Tienda fisica,Aprobada,34600.0
213,920046,2878,79,2025-12-23,2,Producto defectuoso,Tienda fisica,Rechazada,105400.0
214,874061,1446,127,2026-02-11,1,Producto defectuoso,Marketplace,Aprobada,55800.0
215,341198,3915,8,2026-05-28,2,Talla incorrecta,Tienda fisica,Aprobada,170000.0
216,893502,3634,88,2026-05-06,2,Error en pedido,Ecommerce,En proceso,202500.0
217,877834,3260,145,2026-02-09,1,Error en pedido,Tienda fisica,Aprobada,9200.0
218,197772,2823,136,2026-04-21,1,Producto defectuoso,Tienda fisica,Aprobada,139600.0
219,111237,1011,92,2026-03-15,1,Producto defectuoso,Tienda fisica,En proceso,158000.0
220,285479,2424,72,2026-01-15,2,No cumple expectativas,Tienda fisica,Aprobada,127100.0
221,737631,1943,106,2026-01-09,1,No cumple expectativas,Tienda fisica,En proceso,79000.0
222,843546,3925,115,2025-09-13,2,Error en pedido,Tienda fisica,Aprobada,19100.0
223,797762,3074,83,2026-01-28,1,No cumple expectativas,Marketplace,En proceso,160400.0
224,127648,1542,37,2025-12-01,1,Producto vencido,Tienda fisica,Aprobada,10900.0
225,204925,3554,14,2026-03-28,1,Error en pedido,Ecommerce,En proceso,24900.0
226,308951,4489,109,2026-09-02,2,Talla incorrecta,Tienda fisica,Aprobada,51200.0
227,871866,4953,113,2026-01-25,1,Talla incorrecta,Ecommerce,Aprobada,218500.0
228,871021,1835,11,2026-03-30,2,Producto vencido,Tienda fisica,Aprobada,114200.0
229,380357,4843,125,2026-07-11,2,Producto defectuoso,Ecommerce,Aprobada,192600.0
230,194225,1244,106,2025-10-14,1,Talla incorrecta,Tienda fisica,Aprobada,157600.0
231,68972,4626,38,2026-06-23,2,No cumple expectativas,Tienda fisica,En proceso,24100.0
232,67093,4278,85,2025-12-24,1,Producto defectuoso,Tienda fisica,En proceso,78300.0
233,62782,4803,84,2026-02-10,1,Talla incorrecta,Tienda fisica,Aprobada,48000.0
234,998691,2465,35,2026-07-18,2,No cumple expectativas,Tienda fisica,Aprobada,133500.0
235,861630,4518,102,2026-08-14,2,Producto defectuoso,Marketplace,Aprobada,196900.0
236,316876,3614,59,2026-09-05,1,Talla incorrecta,Tienda fisica,Aprobada,2900.0
237,545209,4204,88,2026-06-27,2,Error en pedido,Tienda fisica,Aprobada,135400.0
238,725389,3627,53,2026-05-29,1,Producto vencido,Tienda fisica,Aprobada,137500.0
239,987609,4584,19,2026-01-10,1,Producto vencido,Tienda fisica,Aprobada,189100.0
240,776879,3690,74,2026-03-07,1,Talla incorrecta,Marketplace,En proceso,240000.0
241,627961,1700,128,2026-05-24,2,Talla incorrecta,Tienda fisica,Aprobada,236000.0
242,739288,1143,89,2026-01-23,2,Producto defectuoso,Marketplace,Rechazada,36900.0
243,950928,3606,34,2026-05-17,1,Producto defectuoso,Tienda fisica,Aprobada,183100.0
244,399434,321,49,2026-07-13,1,Talla incorrecta,Tienda fisica,Aprobada,81100.0
245,87124,647,100,2026-03-29,1,Talla incorrecta,Tienda fisica,En proceso,11100.0
246,74029,4676,125,2026-08-09,2,Error en pedido,Ecommerce,Aprobada,13500.0
247,311168,2421,118,2026-02-01,2,Error en pedido,Marketplace,En proceso,113400.0
248,117695,3951,85,2026-05-07,2,Error en pedido,Tienda fisica,En proceso,148300.0
249,921996,1792,147,2026-05-15,1,No cumple expectativas,Marketplace,Rechazada,135500.0
250,908493,3580,77,2025-09-20,1,Talla incorrecta,Marketplace,En proceso,8200.0
251,917484,4082,127,2025-12-28,1,Talla incorrecta,Tienda fisica,Aprobada,153000.0
252,270504,4267,46,2026-03-22,1,Talla incorrecta,Ecommerce,Aprobada,196400.0
253,298910,4749,73,2025-11-02,1,Error en pedido,Ecommerce,Rechazada,19800.0
254,662840,3288,1,2026-08-12,2,Producto defectuoso,Tienda fisica,Aprobada,135800.0
255,885943,42,116,2025-10-19,1,No cumple expectativas,Ecommerce,Aprobada,34700.0
256,168910,725,1,2026-03-23,1,Error en pedido,Ecommerce,Aprobada,36900.0
257,671574,3117,3,2026-05-17,1,No cumple expectativas,Tienda fisica,Aprobada,44200.0
258,434363,1330,125,2026-02-27,2,Error en pedido,Tienda fisica,Aprobada,13000.0
259,157647,131,104,2025-12-26,2,Producto defectuoso,Ecommerce,Rechazada,72900.0
260,120142,2104,93,2026-01-14,2,Error en pedido,Marketplace,En proceso,61300.0
261,450115,1613,2,2026-06-20,2,Producto vencido,Tienda fisica,En proceso,17800.0
262,511768,4961,13,2025-12-22,1,No cumple expectativas,Tienda fisica,Aprobada,10900.0
263,170819,4441,72,2026-01-15,2,Producto defectuoso,Tienda fisica,Aprobada,71600.0
264,60302,751,40,2026-04-26,2,No cumple expectativas,Tienda fisica,Aprobada,200900.0
265,840354,2171,105,2026-05-11,2,Talla incorrecta,Ecommerce,Aprobada,76800.0
266,3727,2494,6,2026-07-13,1,No cumple expectativas,Tienda fisica,Aprobada,140500.0
267,231404,2767,4,2026-08-27,2,Talla incorrecta,Ecommerce,En proceso,103000.0
268,927425,246,29,2025-11-18,2,No cumple expectativas,Tienda fisica,En proceso,167100.0
269,622667,3802,141,2026-06-16,1,No cumple expectativas,Tienda fisica,Aprobada,187000.0
270,701752,2248,39,2026-04-03,2,No cumple expectativas,Ecommerce,Aprobada,61100.0
271,557888,1217,29,2026-02-09,2,Talla incorrecta,Tienda fisica,Aprobada,147600.0
272,811734,4511,143,2025-12-22,1,No cumple expectativas,Tienda fisica,Aprobada,22000.0
273,519618,1569,50,2025-11-20,2,Talla incorrecta,Tienda fisica,Aprobada,120200.0
274,41395,2889,78,2025-12-06,1,Producto vencido,Ecommerce,Aprobada,109800.0
275,89453,2279,109,2026-01-30,1,Error en pedido,Tienda fisica,Aprobada,228200.0
276,976631,583,52,2025-11-14,2,Producto defectuoso,Marketplace,En proceso,21900.0
277,777387,2000,59,2025-11-06,1,Talla incorrecta,Tienda fisica,Aprobada,43400.0
278,83951,4870,95,2026-04-24,2,No cumple expectativas,Tienda fisica,Rechazada,233600.0
279,633396,4664,69,2026-02-15,1,Error en pedido,Marketplace,Aprobada,82500.0
280,875678,2164,65,2025-10-19,1,Error en pedido,Ecommerce,En proceso,194400.0
281,886174,3709,1,2026-08-24,1,Producto vencido,Tienda fisica,Aprobada,75300.0
282,43755,1264,13,2025-10-05,2,Producto vencido,Tienda fisica,Aprobada,2200.0
283,445484,4557,27,2026-08-06,2,No cumple expectativas,Tienda fisica,Aprobada,155900.0
284,174656,2357,112,2025-09-13,2,Producto vencido,Marketplace,Aprobada,66500.0
285,327822,4904,124,2025-10-02,2,Producto defectuoso,Tienda fisica,Aprobada,183200.0
286,726666,2324,55,2026-04-14,1,Error en pedido,Ecommerce,En proceso,147800.0
287,158793,4934,145,2025-11-17,2,Talla incorrecta,Tienda fisica,En proceso,103800.0
288,824306,2345,55,2025-09-11,1,No cumple expectativas,Ecommerce,Aprobada,3900.0
289,458476,4899,121,2026-02-28,1,Producto defectuoso,Tienda fisica,Rechazada,170700.0
290,507927,3473,96,2026-06-05,1,Error en pedido,Ecommerce,Aprobada,146900.0
291,686922,1352,106,2026-07-27,2,Producto vencido,Ecommerce,Aprobada,148900.0
292,732054,1089,144,2026-08-09,1,Producto defectuoso,Marketplace,Aprobada,123300.0
293,693754,4365,47,2026-07-29,1,No cumple expectativas,Tienda fisica,Aprobada,94100.0
294,801019,65,6,2025-12-12,2,No cumple expectativas,Tienda fisica,Aprobada,110600.0
295,751655,212,147,2025-12-14,2,Error en pedido,Ecommerce,Aprobada,64000.0
296,152237,1760,81,2025-12-26,2,Error en pedido,Ecommerce,Aprobada,119700.0
297,777957,3071,53,2026-04-26,1,Error en pedido,Marketplace,Aprobada,191800.0
298,714219,2073,30,2025-10-21,1,Producto vencido,Marketplace,Aprobada,12300.0
299,435654,3979,41,2025-11-25,2,Producto defectuoso,Marketplace,Aprobada,165500.0
300,116827,2307,134,2026-03-08,1,Producto defectuoso,Ecommerce,Aprobada,125600.0
301,53358,3857,23,2026-07-11,1,Producto vencido,Tienda fisica,Aprobada,167700.0
302,558472,2326,25,2025-12-27,2,Talla incorrecta,Tienda fisica,En proceso,160600.0
303,589751,2298,49,2026-08-04,1,Talla incorrecta,Tienda fisica,Aprobada,31200.0
304,376771,4143,125,2026-05-13,1,No cumple expectativas,Tienda fisica,Aprobada,15800.0
305,507057,2903,50,2025-12-19,2,Error en pedido,Tienda fisica,Aprobada,47000.0
